"respondent_id","group","maoni_01","maoni_02","maoni_03","maoni_04","maoni_05","maoni_06","maoni_07","maoni_08","maoni_09","maoni_10","maoni_11","maoni_12","maoni_13","maoni_14","maoni_15","maoni_16","maoni_17","maoni_18","maoni_19","maoni_20","maoni_21","maoni_22","maoni_23","maoni_24","maoni_25","maoni_26","maoni_27","maoni_28","maoni_29","maoni_30","maoni_31"
"Adolescents_Youth_1","Adolescents_Youth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adolescents_Youth_2","Adolescents_Youth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adolescents_Youth_3","Adolescents_Youth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adolescents_Youth_4","Adolescents_Youth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adolescents_Youth_5","Adolescents_Youth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adolescents_Youth_6","Adolescents_Youth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adolescents_Youth_7","Adolescents_Youth",NA,NA,"Sijui kuhusu pep elim itolew kuhus hizo pep","Sijui kuhus prep elim itolew",NA,"Sijui kam sipo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adolescents_Youth_8","Adolescents_Youth",NA,NA,NA,NA,NA,NA,NA,NA,"Hamna huduma hzo",NA,NA,NA,NA,NA,NA,"Familia haikua na elimu walimtenga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adolescents_Youth_9","Adolescents_Youth",NA,NA,"Elim itolew hatuelew kuhus pep","Elim itolew hatuelew",NA,NA,NA,NA,NA,NA,"Hila watenge club maalum ya vijana kuanzia 19 na kuendelea wasiwachanganye na watu wazima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adolescents_Youth_10","Adolescents_Youth",NA,NA,"Sijui elim itolew kuhus dawa kinga","Elim itolew nimesikia leo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adolescents_Youth_11","Adolescents_Youth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pendekezo: kwamba watoa huduma waendelee kutoa tiba mashulen",NA,NA,"Kwa sababu so wote watakubariana na matokeo kuna wanao kubari na wanao Anza kukunyanyapaa baada ya kuujua ukweli",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adolescents_Youth_12","Adolescents_Youth",NA,NA,"vijan wapewe elim na ushaul kuhuau hizi daw za pep","shilika litoe huduma hii ili watu wajue juu ya kutumia prep",NA,"vijan waweze kupewa elim kuhusu umuhimuwa kufanya tohara ina saidia kutopata maambukizi ya magonjwa mbali mbali",NA,NA,"shilika liweze kusaidia warezi wenye mahitaji ya kiuchumi",NA,NA,NA,"mapendekezo wahudum waendelee na huduma mzuri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adolescents_Youth_13","Adolescents_Youth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adolescents_Youth_14","Adolescents_Youth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adolescents_Youth_15","Adolescents_Youth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adolescents_Youth_16","Adolescents_Youth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adolescents_Youth_17","Adolescents_Youth",NA,NA,NA,"Elimu itolewe zaidi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adolescents_Youth_18","Adolescents_Youth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adolescents_Youth_19","Adolescents_Youth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adolescents_Youth_20","Adolescents_Youth","Napatiwa kipaumbele kama mpokea huduma 
","Kwenye kituo hazipatikani",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adolescents_Youth_21","Adolescents_Youth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adolescents_Youth_22","Adolescents_Youth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adolescents_Youth_23","Adolescents_Youth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adolescents_Youth_24","Adolescents_Youth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adolescents_Youth_25","Adolescents_Youth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adolescents_Youth_26","Adolescents_Youth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adolescents_Youth_27","Adolescents_Youth",NA,NA,"Vijana wengi hawana elimu hii ya PEP","Vijana wengi hawana elimu hii ya PrEP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adolescents_Youth_28","Adolescents_Youth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adolescents_Youth_29","Adolescents_Youth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adolescents_Youth_30","Adolescents_Youth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adolescents_Youth_31","Adolescents_Youth",NA,NA,"Sijui kama kuna dawa kinga hizo","Sijui kama kuna hizo kinga elim itolew",NA,"Sijui kam ipo",NA,"Watoa huduma wapew elim kuhusu afya akil ctc kuwep mtaalam wa afya akil","Naomb kam vijan tuwezeshw kiuchum",NA,NA,NA,NA,"Kwenye Jamii elim iendelee kutolew zaid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Adolescents_Youth_32","Adolescents_Youth",NA,"Bank za kondom ziongezw katika kituon kwetu","Huduma hizi elimu yake itolewe Zaid","Huduma hizi haioneshwi kama zipo pia elimu zitole zaidi","Suala la ukatili wa kingono likomeshwe zaid",NA,NA,NA,"Watu wawezeshwe kiuchumi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
