"question","pct_missing","flag"
"Upatikanaji wa huduma rafiki katika kituo husika",0,"OK"
"Huduma za upatikanaji wa  Kondomu katika vituo vya afya",0,"OK"
"Upatikanaji wa dawa za kuzuia maambukizi (PEP)",0,"OK"
"Upatikanaji wa dawa kinga (PrEP)",0,"OK"
"Huduma za kuzuia ukatili wa kijinsia wa kingono",0,"OK"
"Huduma ya tohara kwa wanaume",0,"OK"
"Usaidizi unaotolewa na Wakiri Tiba katika vituo vya afya na jamii",0,"OK"
"Usaidizi katika masuala ya afya ya akili",0,"OK"
"Usaidizi wa kiuchumi na kijamii kwa AGYW/ na wazazi walioko kwenye tiba  wenye changamoto ya kiuchumi",0,"OK"
"Kuunganishwa katika huduma za tiba na matunzo",0,"OK"
"Hali ya utolewaji wa huduma rafiki kwa vijana",0,"OK"
"Elimu na uelewa wa watoa huduma juu ya ubaguzi na unyanyapaa",0,"OK"
"Lugha, tabia na matendo ya watoa huduma za afya kwa WAVIU",0,"OK"
"Juhudi za kuzuia ubaguzi na unyanyapaa katika vituo vya afya na jamii",0,"OK"
"Huduma kwa waliokumbwa na unyanyapaa na ubaguzi",0,"OK"
"Mapokeo ya wenza au wanafamilia baada ya kujiweka wazi kwa hali ya maambukizi",0,"OK"
