"respondent_id","group","sex","Upatikanaji wa huduma rafiki katika kituo husika","Huduma za upatikanaji wa  Kondomu katika vituo vya afya","Upatikanaji wa dawa za kuzuia maambukizi (PEP)","Upatikanaji wa dawa kinga (PrEP)","Huduma za kuzuia ukatili wa kijinsia wa kingono","Huduma ya tohara kwa wanaume","Usaidizi unaotolewa na Wakiri Tiba katika vituo vya afya na jamii","Usaidizi katika masuala ya afya ya akili","Usaidizi wa kiuchumi na kijamii kwa AGYW/ na wazazi walioko kwenye tiba  wenye changamoto ya kiuchumi","Kuunganishwa katika huduma za tiba na matunzo","Hali ya utolewaji wa huduma rafiki kwa vijana","Elimu na uelewa wa watoa huduma juu ya ubaguzi na unyanyapaa","Lugha, tabia na matendo ya watoa huduma za afya kwa WAVIU","Juhudi za kuzuia ubaguzi na unyanyapaa katika vituo vya afya na jamii","Huduma kwa waliokumbwa na unyanyapaa na ubaguzi","Mapokeo ya wenza au wanafamilia baada ya kujiweka wazi kwa hali ya maambukizi"
"Adolescents_Youth_1","Adolescents_Youth","Female",3,3,3,3,3,2,3,3,3,3,3,3,3,3,1,3
"Adolescents_Youth_2","Adolescents_Youth","Male",2,3,3,3,1,3,3,2,3,3,2,3,2,3,2,3
"Adolescents_Youth_3","Adolescents_Youth","Male",3,3,3,4,3,3,3,3,3,3,3,2,2,3,3,3
"Adolescents_Youth_4","Adolescents_Youth","Male",3,3,3,3,3,2,3,2,3,3,3,3,3,3,3,3
"Adolescents_Youth_5","Adolescents_Youth","Female",3,3,3,3,3,3,2,3,1,5,5,3,3,3,3,3
"Adolescents_Youth_6","Adolescents_Youth","Female",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"Adolescents_Youth_7","Adolescents_Youth","Female",3,3,1,1,3,1,3,3,3,3,3,3,3,3,3,3
"Adolescents_Youth_8","Adolescents_Youth","Female",5,5,5,5,3,5,4,4,1,5,5,4,3,5,3,1
"Adolescents_Youth_9","Adolescents_Youth","Female",3,2,1,1,3,1,3,1,1,3,5,3,3,3,1,1
"Adolescents_Youth_10","Adolescents_Youth","Female",3,3,1,1,1,3,3,3,1,3,3,3,3,3,1,3
"Adolescents_Youth_11","Adolescents_Youth","Female",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2
"Adolescents_Youth_12","Adolescents_Youth","Male",3,2,3,3,5,5,5,3,3,5,4,5,5,5,5,4
"Adolescents_Youth_13","Adolescents_Youth","Male",5,3,3,3,3,5,3,5,4,3,3,5,3,3,5,3
"Adolescents_Youth_14","Adolescents_Youth","Female",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"Adolescents_Youth_15","Adolescents_Youth","Male",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"Adolescents_Youth_16","Adolescents_Youth","Male",5,5,5,5,3,4,5,5,4,4,5,3,5,5,5,5
"Adolescents_Youth_17","Adolescents_Youth","Female",4,3,5,2,4,5,5,4,5,5,5,5,4,4,5,3
"Adolescents_Youth_18","Adolescents_Youth","Female",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"Adolescents_Youth_19","Adolescents_Youth","Male",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"Adolescents_Youth_20","Adolescents_Youth","Male",5,1,5,2,4,4,5,4,4,5,5,5,5,4,4,4
"Adolescents_Youth_21","Adolescents_Youth","Female",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"Adolescents_Youth_22","Adolescents_Youth","Female",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"Adolescents_Youth_23","Adolescents_Youth","Female",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"Adolescents_Youth_24","Adolescents_Youth","Male",3,3,3,3,1,4,3,3,3,5,2,3,3,3,2,3
"Adolescents_Youth_25","Adolescents_Youth","Male",3,1,3,3,2,3,3,3,1,3,3,3,3,3,3,3
"Adolescents_Youth_26","Adolescents_Youth","Male",3,3,3,3,3,3,3,3,4,3,3,3,4,3,3,3
"Adolescents_Youth_27","Adolescents_Youth","Female",4,4,2,2,4,4,5,4,4,4,4,4,4,4,4,4
"Adolescents_Youth_28","Adolescents_Youth","Female",4,4,4,4,4,4,4,4,4,4,4,3,4,4,5,4
"Adolescents_Youth_29","Adolescents_Youth","Male",4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4
"Adolescents_Youth_30","Adolescents_Youth","Male",5,5,5,5,5,4,5,4,5,5,5,4,4,4,5,5
"Adolescents_Youth_31","Adolescents_Youth","Male",3,3,1,1,3,1,3,2,1,3,5,3,3,3,2,2
"Adolescents_Youth_32","Adolescents_Youth","Female",3,3,2,2,4,3,3,3,2,3,4,3,3,3,3,3
