"question","pct_missing","flag"
"Unapimaje uibuaji wa watoto wanaoishi na VVU na wajawazito/wanaonyonyesha katika jamii?",0,"OK"
"Unapimaje mfumo wa uunganishaji na rufaa kati ya jamii na vituo vya afya?",0,"OK"
"Unapimaje huduma za mkoba (outreach) kwa WAVIU waliopo maeneo magumu kufikika katika kata yako?",0,"OK"
"Unapimaje msaada unaotolewa kwa WAVIU wapya waliotambuliwa?",0,"OK"
"Unapimaje huduma za ushauri kuhusu ufuasi wa matumizi ya dawa kwa WAVIU?",0,"OK"
"Unapimaje mfumo wa ufuatiliaji na utafutaji wa wateja wanaokosa miadi?",0,"OK"
"Unapimaje shughuli za ziara za kaya?",0,"OK"
"Unapimaje mchango wa jamii katika kusaidia ufuasi wa matibabu na kudumu kwenye huduma?",0,"OK"
"Unapimaje msaada unaotolewa wakati wa uwekaji wazi wa hali ya maambukizi kwa watoto?",0,"OK"
"Unapimaje huduma za msaada wa kisaikolojia kwa watoto wanaoishi na maambukizi na walezi?",0,"OK"
"Unapimaje juhudi za kupunguza unyanyapaa katika jamii?",0,"OK"
"Unapimaje shughuli za uhamasishaji kuhusu VVU zinazofanyika katika jamii?",0,"OK"
"Unapimaje ushiriki wa viongozi wa jamii na wadau katika shughuli za VVU?",0,"OK"
"Unapimaje ufanisi wa vikundi vya msaada vya jamii?",0,"OK"
"Kwa ujumla, unapimaje huduma za VVU ngazi ya jamii katika eneo lako?",0,"OK"
