"respondent_id","group","maoni_01","maoni_02","maoni_03","maoni_04","maoni_05","maoni_06","maoni_07","maoni_08","maoni_09","maoni_10","maoni_11","maoni_12","maoni_13","maoni_14","maoni_15","maoni_16"
"Caregivers_CLHIV_1","Caregivers_CLHIV",NA,"Viongozi wa dini hawatoi elimu kuhusu haviambukizi havionekani",NA,NA,NA,"Bado kunaubaguzi na unyanyapaa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Caregivers_CLHIV_2","Caregivers_CLHIV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Caregivers_CLHIV_3","Caregivers_CLHIV",NA,"Viongozi wa dini hawatoi elimu juu ya masuala ya H-H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Caregivers_CLHIV_4","Caregivers_CLHIV",NA,"Viongozi wa dini hawana uwelewa kuhusu vvu na ukimwi",NA,NA,NA,NA,"Ubaguzi na unyanyapaaa Bado upo",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Caregivers_CLHIV_5","Caregivers_CLHIV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Caregivers_CLHIV_6","Caregivers_CLHIV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Caregivers_CLHIV_7","Caregivers_CLHIV",NA,NA,NA,"Elimu wanapata ni nzur","Huduma nzur",NA,"Jamii imeelimika sana",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Caregivers_CLHIV_8","Caregivers_CLHIV",NA,"Kuwa makini kwa kuweka Hali iliyo nzuri kwa watoto wawe na virusi ambavyo havionekani wala kuambukiza.",NA,"Kumbagua mtoto mviu sio nzuri basi uelewa wa watoa huduma kuhusu suala la unanyanyapaa ni nzuri.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Caregivers_CLHIV_9","Caregivers_CLHIV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Caregivers_CLHIV_10","Caregivers_CLHIV","Kuelimisha watu kutumia dawa vizur.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Caregivers_CLHIV_11","Caregivers_CLHIV",NA,"Elimu itolewe kwa upande wa viongozi wa dini",NA,NA,"Elimu zaidi iongezeke",NA,"Maoni kituo kichue hatua ya kuwafuatilia nakuwajenga kisaikoloj","Elimu kwa family/mwenza",NA,NA,NA,NA,NA,NA,NA,NA
"Caregivers_CLHIV_12","Caregivers_CLHIV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Caregivers_CLHIV_13","Caregivers_CLHIV","hudu nzuri inayo tolewa","elimu iendelee kutolewa","huduma iendelee kutolewa zaid na zaidi ili watu wote wajue juu ya hali zao",NA,"huduma ni mzuri san","elimu iendelee kutolewa ili unyanyapaa usiwepo","huduma iendele kutolew","huduma itolew zaid na zaid",NA,NA,NA,NA,NA,NA,NA,NA
"Caregivers_CLHIV_14","Caregivers_CLHIV","waendelew tutoa elin ya kutosha",NA,"kwasababu elimu haiwafikii vizur vijijin","elimu iendelee kutolewa",NA,NA,NA,"elimu iendelee kutolewa zaid na zaid",NA,NA,NA,NA,NA,NA,NA,NA
"Caregivers_CLHIV_15","Caregivers_CLHIV","huduma iko vizuri",NA,NA,"kazi hii iwe endelevu",NA,NA,"elimu itolew zaid na zaid kuhusu unyanyapaa","elimu itolewe zaid na zaid",NA,NA,NA,NA,NA,NA,NA,NA
"Caregivers_CLHIV_16","Caregivers_CLHIV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Caregivers_CLHIV_17","Caregivers_CLHIV","Baadhi ya wenza hawafatilii dawa kwa wakati",NA,NA,NA,"Walio wengi hutoa siri za wateja",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Caregivers_CLHIV_18","Caregivers_CLHIV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Caregivers_CLHIV_19","Caregivers_CLHIV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Caregivers_CLHIV_20","Caregivers_CLHIV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Caregivers_CLHIV_21","Caregivers_CLHIV",NA,NA,NA,NA,NA,NA,NA,"Elimu izidi kitolewa kwa jamii",NA,NA,NA,NA,NA,NA,NA,NA
"Caregivers_CLHIV_22","Caregivers_CLHIV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Caregivers_CLHIV_23","Caregivers_CLHIV","Baadhi. Ya wenza hawafatilii dawa. Kwa wakati",NA,NA,NA,"Waliowengi wanatoa Siri zawateja",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Caregivers_CLHIV_24","Caregivers_CLHIV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Caregivers_CLHIV_25","Caregivers_CLHIV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Caregivers_CLHIV_26","Caregivers_CLHIV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
