"respondent_id","group","sex","WAVIU wana uelewa wa kutosha kuhusu havionekani=haviambikizi (H=H)","Mchango wa viongozi wa dini unaotolewa kuhusu ujumbe wa havionekani=haviambuziki","Miongozo na mikakati iliyowekwa na serikali katika kusaidia utoaji wa huduma kwa mama MVIU na mtoto(miongozo)","Elimu na uelewa wa watoa huduma juu ya ubaguzi na unyanyapaa","Lugha, tabia na matendo ya watoa huduma za afya kwa WAVIU","Juhudi za kuzuia ubaguzi na unyanyapaa katika vituo vya afya na jamii","Huduma kwa waliokumbwa na unyanyapaa na ubaguzi","Mapokeo ya wenza au wanafamilia baada ya kujiweka wazi kwa hali ya maambukizi"
"Caregivers_CLHIV_1","Caregivers_CLHIV","Female",3,1,3,3,3,1,3,3
"Caregivers_CLHIV_2","Caregivers_CLHIV","Female",3,3,3,3,3,3,3,3
"Caregivers_CLHIV_3","Caregivers_CLHIV","Female",3,1,3,3,3,3,3,3
"Caregivers_CLHIV_4","Caregivers_CLHIV","Female",3,1,3,3,2,3,1,3
"Caregivers_CLHIV_5","Caregivers_CLHIV","Female",4,4,4,4,5,4,3,4
"Caregivers_CLHIV_6","Caregivers_CLHIV","Female",1,1,1,3,3,1,1,3
"Caregivers_CLHIV_7","Caregivers_CLHIV","Male",5,5,5,5,5,5,5,4
"Caregivers_CLHIV_8","Caregivers_CLHIV","Female",4,1,5,4,3,5,3,3
"Caregivers_CLHIV_9","Caregivers_CLHIV","Female",5,5,3,3,5,4,4,4
"Caregivers_CLHIV_10","Caregivers_CLHIV","Female",2,3,3,3,3,3,1,4
"Caregivers_CLHIV_11","Caregivers_CLHIV","Female",3,1,3,3,2,3,2,1
"Caregivers_CLHIV_12","Caregivers_CLHIV","Female",3,3,3,3,3,3,3,3
"Caregivers_CLHIV_13","Caregivers_CLHIV","Male",5,3,5,4,3,5,3,5
"Caregivers_CLHIV_14","Caregivers_CLHIV","Female",3,5,2,3,5,3,5,3
"Caregivers_CLHIV_15","Caregivers_CLHIV","Female",3,3,5,4,5,4,3,3
"Caregivers_CLHIV_16","Caregivers_CLHIV","Male",5,5,4,5,5,5,5,5
"Caregivers_CLHIV_17","Caregivers_CLHIV","Female",2,5,5,5,3,5,5,5
"Caregivers_CLHIV_18","Caregivers_CLHIV","Male",5,5,5,5,5,5,5,5
"Caregivers_CLHIV_19","Caregivers_CLHIV","Male",5,5,5,5,5,5,5,5
"Caregivers_CLHIV_20","Caregivers_CLHIV","Female",5,5,5,5,5,5,5,5
"Caregivers_CLHIV_21","Caregivers_CLHIV","Female",5,5,5,5,5,5,5,3
"Caregivers_CLHIV_22","Caregivers_CLHIV","Male",5,5,4,5,5,5,5,5
"Caregivers_CLHIV_23","Caregivers_CLHIV","Female",2,5,5,5,3,5,5,5
"Caregivers_CLHIV_24","Caregivers_CLHIV","Female",5,5,5,5,5,5,5,5
"Caregivers_CLHIV_25","Caregivers_CLHIV","Female",5,5,5,5,5,5,5,5
"Caregivers_CLHIV_26","Caregivers_CLHIV","Female",5,5,5,5,5,5,5,5
"Caregivers_CLHIV_27","Caregivers_CLHIV","Female",5,5,5,5,5,5,5,3
"Caregivers_CLHIV_28","Caregivers_CLHIV","Female",5,5,4,5,3,5,3,4
"Caregivers_CLHIV_29","Caregivers_CLHIV","Male",4,2,5,5,5,4,5,5
"Caregivers_CLHIV_30","Caregivers_CLHIV","Female",5,1,5,4,5,4,3,2
"Caregivers_CLHIV_31","Caregivers_CLHIV","Female",4,5,5,4,5,4,4,3
"Caregivers_CLHIV_32","Caregivers_CLHIV","Male",5,3,5,4,5,3,5,5
"Caregivers_CLHIV_33","Caregivers_CLHIV","Female",5,1,5,5,5,5,5,5
"Caregivers_CLHIV_34","Caregivers_CLHIV","Female",2,1,3,5,5,5,3,2
"Caregivers_CLHIV_35","Caregivers_CLHIV","Female",3,2,4,4,4,4,2,2
"Caregivers_CLHIV_36","Caregivers_CLHIV","Female",3,2,4,4,4,4,2,3
"Caregivers_CLHIV_37","Caregivers_CLHIV","Female",3,1,4,5,5,3,4,4
"Caregivers_CLHIV_38","Caregivers_CLHIV","Male",3,5,5,5,5,4,4,4
"Caregivers_CLHIV_39","Caregivers_CLHIV","Female",4,4,4,4,4,4,4,4
"Caregivers_CLHIV_40","Caregivers_CLHIV","Female",4,4,5,5,4,5,4,4
"Caregivers_CLHIV_41","Caregivers_CLHIV","Female",4,5,3,4,4,3,5,5
"Caregivers_CLHIV_42","Caregivers_CLHIV","Female",3,5,5,5,3,2,5,3
"Caregivers_CLHIV_43","Caregivers_CLHIV","Female",5,5,5,5,5,5,5,5
"Caregivers_CLHIV_44","Caregivers_CLHIV","Female",5,5,5,5,5,5,5,5
"Caregivers_CLHIV_45","Caregivers_CLHIV","Female",5,5,5,5,5,5,5,5
"Caregivers_CLHIV_46","Caregivers_CLHIV","Male",5,5,5,5,5,4,5,5
"Caregivers_CLHIV_47","Caregivers_CLHIV","Male",5,5,5,4,5,4,5,5
"Caregivers_CLHIV_48","Caregivers_CLHIV","Female",5,5,5,5,5,5,5,5
"Caregivers_CLHIV_49","Caregivers_CLHIV","Female",5,5,5,5,5,5,5,5
"Caregivers_CLHIV_50","Caregivers_CLHIV","Female",5,3,4,5,5,5,5,4
"Caregivers_CLHIV_51","Caregivers_CLHIV","Male",1,2,3,3,3,3,3,2
"Caregivers_CLHIV_52","Caregivers_CLHIV","Female",3,5,5,5,5,5,5,5
"Caregivers_CLHIV_53","Caregivers_CLHIV","Female",5,5,3,5,5,5,5,5
