"question","pct_missing","flag"
"Unapimaje uratibu wa huduma za VVU kati ya wadau mbalimbali?",0,"OK"
"Unapimaje ushirikiano kati ya jamii na vituo vya afya katika huduma za VVU?",0,"OK"
"Unapimaje mifumo ya rufaa na uunganishaji wa huduma za VVU?",0,"OK"
"Unapimaje upatikanaji wa huduma za VVU kwa jamii?",0,"OK"
"Unapimaje ubora wa huduma za tiba na matunzo  kwa watoto, wajawazito na wanaonyonyesha wanaoishi na maambukizi ya VVU?",0,"OK"
"Unapimaje huduma za uchukuaji wa sampuli za damu kavu (DBS)?",0,"OK"
"Unapimaje huduma za uchukuaji wa sampuli kwa ajili ya kupima wingi wa VVU?",0,"OK"
"Unapimaje huduma za upatikananji wa ARV kwa ajili ya watoto, wajawazito na wanaonyonyesha wanaoishi na VVU?",0,"OK"
"Unapimaje mifumo ya ufuatiliaji wa WAVIU (watotoo, wajawazito na wanaonyosha) waliokatisha matibabu?",0,"OK"
"Unapimaje mchango wa jamii katika kusaidia (watotoo, wajawazito na wanaonyosha)  kudumu kwenye huduma?",0,"OK"
"Unapimaje ushiriki wa wahudumu wa  afya ngazi ya jamii katika kutoa huduma za VVU katika jamii?",0,"OK"
"Unapimaje ushiriki wa mama vinara  katika kutoa huduma za VVU katika jamii?",0,"OK"
"Unapimaje ushiriki wa waelishaji rika katika kutoa huduma za VVU katika jamii?",0,"OK"
"Unapimaje juhudi za kupunguza unyanyapaa wa VVU katika jamii?",0,"OK"
"Unapimaje ushiriki wa viongozi wa jamii katika shughuli za VVU?",0,"OK"
"Unapimaje uhamasishaji wa jamii kuhusu huduma za VVU?",0,"OK"
"Unapimaje upatikanaji wa rasilimali kwa utekelezaji wa shughuli za VVU?",0,"OK"
"Kwa ujumla, unapimaje utekelezaji wa huduma za VVU katika eneo lako?",0,"OK"
