"respondent_id","group","maoni_01","maoni_02","maoni_03","maoni_04","maoni_05","maoni_06","maoni_07","maoni_08","maoni_09","maoni_10","maoni_11","maoni_12","maoni_13","maoni_14","maoni_15","maoni_16","maoni_17","maoni_18","maoni_19","maoni_20","maoni_21","maoni_22","maoni_23","maoni_24","maoni_25","maoni_26","maoni_27","maoni_28","maoni_29","maoni_30","maoni_31","maoni_32","maoni_33","maoni_34","maoni_35","maoni_36","maoni_37","maoni_38","maoni_39","maoni_40","maoni_41","maoni_42","maoni_43","maoni_44","maoni_45","maoni_46","maoni_47","maoni_48","maoni_49","maoni_50","maoni_51","maoni_52","maoni_53","maoni_54","maoni_55","maoni_56","maoni_57","maoni_58","maoni_59","maoni_60","maoni_61","maoni_62","maoni_63"
"FGD_Community_1","FGD_Community",NA,NA,NA,NA,"Kwasababu wahudumu ni wachache kwaiyo tukienda clinick tunachelewa kutoka",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kwasababu wanatumia hela nying wakati wa kuandikisha ujauzito pia Kila mwezi wa kwenda klinick wanatakiwa waende na elfu tatu pia kama huna haupimi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FGD_Community_2","FGD_Community",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FGD_Community_3","FGD_Community",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FGD_Community_4","FGD_Community",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FGD_Community_5","FGD_Community",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Muda kukaah na uongezw hil tuongee changamot zaid",NA,NA,"Kondom chache","Elim itolew watu hawajui kuhusu kinga",NA,"Elimu itolew kuhus kinga watu hawajui",NA,NA,NA,NA,"Elimu itolew awajui kuhus jipime",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FGD_Community_6","FGD_Community",NA,NA,NA,NA,NA,NA,"Hawajawah kupata hyo elimu au huduma hyo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Majibu yanachelewa xana na wanakuja kuambiwa apime tena",NA,NA,NA,NA,NA,"Hakupata kondom kwa wakati alipohitaji","Baadhi hawana elimu juu ya dawa PEP","Hawajawaifahamu",NA,NA,NA,NA,NA,"Hawakifahamu","Hawahusiki hawana wtt wakiume",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FGD_Community_7","FGD_Community",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Elim itolew kuhus pep hatujui","Elim itolew hatujui dawa kinga","Hatujui elim itolew","Elimu itolew hatujui",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FGD_Community_8","FGD_Community",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"huduma za zaman na sasiv nitofaut mwanzo tukaw tunaletewa saiv atuletewi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"huduma ninzuri","kwasababu huduma nimzuri",NA,"kwasabab inatolewa kwa ufasaha",NA,NA,"kwasababu ya ubola wa huduma","Elimu iendelee kutolewa",NA,NA,NA,"elimu kutolewa katika jamii",NA,NA,NA,NA,NA
"FGD_Community_9","FGD_Community","Umbali mlefu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sababu ya umbali","Sababu umali",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FGD_Community_10","FGD_Community","Umbali. Mrefu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Umbali","Umbali",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
