"question","pct_missing","flag"
"Utoaji wa Dawa kwa Mwezi 1",0,"OK"
"Utoaji wa Dawa kwa Miezi 3",0,"OK"
"Utoaji wa Dawa kwa Miezi 6",0,"OK"
"Vipindi vya Ushauri wa matumizi ya Tiba",0,"OK"
"Upatikanaji wa watoa huduma",0,"OK"
"Usaidizi unaotolewa na CHWs,waelimishaji rika, mama vinara kuhusu matumizi ya Tiba Nyumbani",0,"OK"
"Ujumbe Kuhusu Havionekani = Haviambukizi (H=H)",0,"OK"
"Juhudi za kupinga upotoshaji wa Tiba ikiwa ni pamoja na Havionekani = Haviambukizi (H=H)",0,"OK"
"Mchakato wa kufuatilia Wenza (elicitation)",0,"OK"
"Ufuatiliaji wa maendeleo ya Afya ya Mama na Mtoto",0,"OK"
"Ufuatiliaji wa unyanyapaa au ukatili baada ya Upimaji wa mwenza",0,"OK"
"Usaidizi unaotolewa na Wakiri Tiba katika vituo vya afya",0,"OK"
"Usaidizi katika masuala ya afya ya akili",0,"OK"
"Usaidizi wa kiuchumi na kijamii kwa AGYW na walezi walioko kwenye Tiba  wenye changamoto ya Kiuchumi",0,"OK"
"Kuunganishwa katika huduma za Tiba na Matunzo",5.3,"OK"
"Elimu ya afya ya Uzazi iliotolewa",0,"OK"
"Upatikanaji wa huduma za afya ya Uzazi",0,"OK"
"Ufikiwaji wa Huduma za afya ya Uzazi",0,"OK"
"Uwepo wa huduma za tiba na matunzo kwa watoto Nyumbani",0,"OK"
"Ufikiwaji na huduma za tiba na matunzo kwa watoto nyumbani",0,"OK"
"Kiwango cha dawa kinatosha kwa matumizi Nyumbani",0,"OK"
"Uhifadhi sahihi wa ARV Nyumbani",0,"OK"
"Huduma za Upimaji wa VVU kwa watoto",0,"OK"
"Mizunguko ya uchukuaji wa sampuli kwa watoto   (mara baada ya kuzaliwa tuu, wiki 6 na miezi 9)",0,"OK"
"Matokeo yanatoka ndani ya muda uliopangwa (wiki 2)",0,"OK"
"Endapo majibu yalichelewa - Sababu mlizopewa za kuchelewa kwa matokeo ya kipimo cha  DBS",0,"OK"
"Upatikanaji wa huduma ya upimaji wa wingi wa virusi",5.3,"OK"
"Uchukuliwaji wa sampuli ya damu",0,"OK"
"Majibu yanarudi ndani ya muda uliopangwa (wiki 2)",0,"OK"
"Endapo majibu yalichelewa - Sababu mlizopewa za kuchelewa kwa majibu  ya wingi wa virusi",5.3,"OK"
"Muda wa kusubiria huduma katika kituo cha afya",0,"OK"
"Mtiririko wa Huduma katika kituo cha afya",0,"OK"
"Muda uliotumika na Daktari",0,"OK"
"Gharama inayotumika  wakati wa miadi ya Kliniki",0,"OK"
"Umbali Kutoka Kliniki",0,"OK"
"Upatikanaji wa Kondomu katika Kituo cha afya",0,"OK"
"Uelewa juu ya dawa kinga PEP",0,"OK"
"Upatikanaji wa Dawa Kinga PEP",0,"OK"
"Uelewa juu ya  dawa Kinga PrEP",0,"OK"
"Upatikanaji wa Dawa Kinga PrEP",0,"OK"
"Upatikanaji wa huduma ya tohara kwa wanaume...102",0,"OK"
"Upatikanaji wa huduma za upimaji HIV",0,"OK"
"Upatikanaji wa huduma ya tohara kwa wanaume...106",0,"OK"
"Huduma za jipime (Self test)",0,"OK"
"Upatikanaji wa huduma ya tohara kwa watoto wachanga wa kiume",5.3,"OK"
"Uwepo",0,"OK"
"Upatikanaji",0,"OK"
"Ushiriki wa Wenza",0,"OK"
"Elimu ya VVU/UKIMWI inayotolewa baada ya kujifungua",0,"OK"
"Usaidizi wa Elimu ya Tiba na Kunyonyesha",5.3,"OK"
"Ufuatiliaji wa maendeleo ya  Afya ya Mama na Mtoto",0,"OK"
"Upimaji wa DBS kwa watoto (At birth to FO)",0,"OK"
"Uelewa wa watoa huduma juu ya Ubaguzi na Unyanyapaa",0,"OK"
"Hisia, na mitazamo ya watoa huduma za afya kwa WAVIU/wasichana balehe na wamama wenye umri mdogo (AGYW)",0,"OK"
"Juhudi za kupunguza unyanyapaa na ubaguzi katika vituo vya afya",0,"OK"
"Huduma zinazotolewa kwa wahanga wa unyanyapaa na ubaguzi",0,"OK"
"Huduma za kupinga ukatili zinazotolewa",0,"OK"
"Utunzaji wa taarifa na kumbukumbu za mpokea huduma katika kituo cha afya",5.3,"OK"
"Utolewaji wa rufaa kwenda kupata huduma za kuzuia maambukizi kutoka kwa mama kwenda kwa mtoto",5.3,"OK"
"Utolewaji wa rufaa kwenda kupata huduma za kupima hali ya maambukizi ya VVU kwa watoto wachanga waliozaliwa na mama MVIU baada ya kujifungua",0,"OK"
"Utolewaji wa rufaa kwenda kupata huduma ya usaidizi wa Kisaikolojia",5.3,"OK"
"Utolewaji wa rufaa kwenda kupata huduma za uwezeshwaji kiuchumi",0,"OK"
