"respondent_id","group","sex","Utoaji wa Dawa kwa Mwezi 1","Utoaji wa Dawa kwa Miezi 3","Utoaji wa Dawa kwa Miezi 6","Vipindi vya Ushauri wa matumizi ya Tiba","Upatikanaji wa watoa huduma","Usaidizi unaotolewa na CHWs,waelimishaji rika, mama vinara kuhusu matumizi ya Tiba Nyumbani","Ujumbe Kuhusu Havionekani = Haviambukizi (H=H)","Juhudi za kupinga upotoshaji wa Tiba ikiwa ni pamoja na Havionekani = Haviambukizi (H=H)","Mchakato wa kufuatilia Wenza (elicitation)","Ufuatiliaji wa maendeleo ya Afya ya Mama na Mtoto","Ufuatiliaji wa unyanyapaa au ukatili baada ya Upimaji wa mwenza","Usaidizi unaotolewa na Wakiri Tiba katika vituo vya afya","Usaidizi katika masuala ya afya ya akili","Usaidizi wa kiuchumi na kijamii kwa AGYW na walezi walioko kwenye Tiba  wenye changamoto ya Kiuchumi","Kuunganishwa katika huduma za Tiba na Matunzo","Elimu ya afya ya Uzazi iliotolewa","Upatikanaji wa huduma za afya ya Uzazi","Ufikiwaji wa Huduma za afya ya Uzazi","Uwepo wa huduma za tiba na matunzo kwa watoto Nyumbani","Ufikiwaji na huduma za tiba na matunzo kwa watoto nyumbani","Kiwango cha dawa kinatosha kwa matumizi Nyumbani","Uhifadhi sahihi wa ARV Nyumbani","Huduma za Upimaji wa VVU kwa watoto","Mizunguko ya uchukuaji wa sampuli kwa watoto   (mara baada ya kuzaliwa tuu, wiki 6 na miezi 9)","Matokeo yanatoka ndani ya muda uliopangwa (wiki 2)","Endapo majibu yalichelewa - Sababu mlizopewa za kuchelewa kwa matokeo ya kipimo cha  DBS","Upatikanaji wa huduma ya upimaji wa wingi wa virusi","Uchukuliwaji wa sampuli ya damu","Majibu yanarudi ndani ya muda uliopangwa (wiki 2)","Endapo majibu yalichelewa - Sababu mlizopewa za kuchelewa kwa majibu  ya wingi wa virusi","Muda wa kusubiria huduma katika kituo cha afya","Mtiririko wa Huduma katika kituo cha afya","Muda uliotumika na Daktari","Gharama inayotumika  wakati wa miadi ya Kliniki","Umbali Kutoka Kliniki","Upatikanaji wa Kondomu katika Kituo cha afya","Uelewa juu ya dawa kinga PEP","Upatikanaji wa Dawa Kinga PEP","Uelewa juu ya  dawa Kinga PrEP","Upatikanaji wa Dawa Kinga PrEP","Upatikanaji wa huduma ya tohara kwa wanaume...102","Upatikanaji wa huduma za upimaji HIV","Upatikanaji wa huduma ya tohara kwa wanaume...106","Huduma za jipime (Self test)","Upatikanaji wa huduma ya tohara kwa watoto wachanga wa kiume","Uwepo","Upatikanaji","Ushiriki wa Wenza","Elimu ya VVU/UKIMWI inayotolewa baada ya kujifungua","Usaidizi wa Elimu ya Tiba na Kunyonyesha","Ufuatiliaji wa maendeleo ya  Afya ya Mama na Mtoto","Upimaji wa DBS kwa watoto (At birth to FO)","Uelewa wa watoa huduma juu ya Ubaguzi na Unyanyapaa","Hisia, na mitazamo ya watoa huduma za afya kwa WAVIU/wasichana balehe na wamama wenye umri mdogo (AGYW)","Juhudi za kupunguza unyanyapaa na ubaguzi katika vituo vya afya","Huduma zinazotolewa kwa wahanga wa unyanyapaa na ubaguzi","Huduma za kupinga ukatili zinazotolewa","Utunzaji wa taarifa na kumbukumbu za mpokea huduma katika kituo cha afya","Utolewaji wa rufaa kwenda kupata huduma za kuzuia maambukizi kutoka kwa mama kwenda kwa mtoto","Utolewaji wa rufaa kwenda kupata huduma za kupima hali ya maambukizi ya VVU kwa watoto wachanga waliozaliwa na mama MVIU baada ya kujifungua","Utolewaji wa rufaa kwenda kupata huduma ya usaidizi wa Kisaikolojia","Utolewaji wa rufaa kwenda kupata huduma za uwezeshwaji kiuchumi"
"FGD_Community_1","FGD_Community",NA,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"FGD_Community_2","FGD_Community",NA,4,5,4,4,4,4,4,3,4,4,4,5,3,4,5,3,5,3,4,3,5,4,3,4,4,3,4,4,4,3,4,3,4,3,3,4,4,3,3,4,4,4,3,3,4,5,4,3,5,3,4,4,4,3,4,5,4,4,4,3,4,3
"FGD_Community_3","FGD_Community",NA,3,4,3,4,3,3,5,4,4,3,3,4,3,5,NA,4,3,4,4,3,4,5,4,3,3,3,4,3,5,3,4,3,3,4,3,3,4,3,4,3,3,4,3,4,4,3,5,4,3,NA,3,3,4,4,3,4,3,3,3,4,5,3
"FGD_Community_4","FGD_Community",NA,1,2,5,4,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,3,3,4,3,3,3,3,4,4,4,4,4,3,4,3,4,3,3,3,3,3,3,3,3,4,NA,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"FGD_Community_5","FGD_Community",NA,2,5,5,5,5,1,5,1,5,3,3,3,1,1,1,3,3,2,1,1,3,3,3,3,3,1,4,3,3,1,2,3,3,1,3,1,1,1,1,1,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1
"FGD_Community_6","FGD_Community",NA,5,5,5,4,5,1,5,4,5,5,5,5,4,3,5,4,4,4,5,5,5,5,3,4,4,4,4,4,4,2,5,5,4,5,5,2,2,2,2,2,4,5,4,1,1,5,5,4,5,4,5,5,4,4,4,5,5,5,5,5,5,5
"FGD_Community_7","FGD_Community",NA,1,3,3,3,3,4,3,1,1,3,3,3,3,1,3,3,3,3,1,1,3,3,3,3,3,3,3,3,3,1,3,3,3,1,3,3,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,1,1
"FGD_Community_8","FGD_Community",NA,4,5,5,4,4,4,4,5,4,4,4,5,5,3,4,5,5,4,3,2,4,5,4,4,3,4,4,5,5,5,3,5,4,4,3,4,4,4,4,4,4,5,5,5,5,4,5,3,4,5,3,4,3,4,4,4,4,3,3,3,3,4
"FGD_Community_9","FGD_Community",NA,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"FGD_Community_10","FGD_Community",NA,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,1,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,NA,NA,5,NA,5
"FGD_Community_11","FGD_Community",NA,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"FGD_Community_12","FGD_Community",NA,5,5,5,4,4,4,5,4,4,3,5,5,4,5,3,4,3,2,4,3,5,3,4,3,4,3,NA,4,5,NA,4,5,4,4,3,2,4,5,2,5,3,5,2,5,2,4,5,4,3,3,5,5,4,3,4,4,5,4,4,5,3,5
