"respondent_id","group","maoni_01","maoni_02","maoni_03","maoni_04","maoni_05","maoni_06","maoni_07","maoni_08","maoni_09","maoni_10","maoni_11","maoni_12","maoni_13","maoni_14","maoni_15","maoni_16"
"HIV_Community_1","HIV_Community","Kwasababu  Huduma ni nzuri","Kuwepo wa wahudumu wa afya ngazi ya jamii","Kwasababukituo cha afya hakipo mbalina makazi","Kwasababu ya ubora ya  usiri wa wahudumu wa afya katika kituo najamii husika",NA,NA,NA,NA,NA,"Kwasababu ana saidia kukufiatilia mpokea huduma kupata huduma stahiki","Hamasa ni ndogo","Hakuna makund yanayo jitolea isipo kua yeye mwenyewe Kenda kupima vipimo vyot","Ukosefu wa Elimu kwa jamii kuhusu unyanyapaa","Hajawai sikia hio elimu",NA,NA
"HIV_Community_2","HIV_Community","Inasaidia kujua afya yake kijimla",NA,"Pendekezo kiliniki tembezizifanyike",NA,NA,NA,NA,NA,NA,NA,"Ili vijana wajue jinsi ya kujikinga",NA,NA,NA,NA,NA
"HIV_Community_3","HIV_Community","upimaji una fahamika kwa jamii nzima","taasii zilikua zina fikisha ujumbe au elimu ya upimaji katika jamii ila kwasas hakun elimu kutka kwa matahasis mbali mbali tahasis zianze kutoa elimu juu ya upimaji kwanjia ya sanaa kam ngoma maigozo komed na bongo freva","huduma iko vizuri kwa sababu ina patikan kwa ukalibu","huduma endelevu","huduma iko vizuri",NA,"wana fanya kazi vizuri","wako vizur","huduma iendelee kwa upatikanaji wa daw","waendelee kufanya kazi kwa moyo mmoja","elimu itolewe kwa vikundi mbali mbali",NA,NA,NA,NA,NA
"HIV_Community_4","HIV_Community","elimu ina tolewa kwa ufasaha",NA,NA,NA,"huduma iko vizuri","kazi iendee",NA,"huduma iendelee na pia iko vizuri san","huma iwe endelevu","waendelee na kazi ya kuhamasisha",NA,NA,NA,NA,NA,"waendelee na hudum mzuri wanayo tupatia"
"HIV_Community_5","HIV_Community","tujue halizetu za kiafya mapema",NA,"huduma ipo kalibu","erimu itolew zaid na zaid","wafanye kazi kwa juhud",NA,NA,"waendelee na huduma",NA,"wazid kutupa elim zaid","waendelee kutoa uhamasishaji zaid",NA,NA,NA,NA,"wafanye kazi kwa bidii"
"HIV_Community_6","HIV_Community",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIV_Community_7","HIV_Community",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIV_Community_8","HIV_Community",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIV_Community_9","HIV_Community",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIV_Community_10","HIV_Community",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIV_Community_11","HIV_Community",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIV_Community_12","HIV_Community",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Waongeze bidii ya utoaji elimu katika jamii",NA,"Elimu itolewe zaidi katika jamii zidi ya unyanyapaa","Elimu itolewe kwa jamii husika","Elimu iwekwe wazi pasipo kuwa na usiri kwa ngaz ya jamii",NA
"HIV_Community_13","HIV_Community",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIV_Community_14","HIV_Community",NA,NA,NA,NA,"Elimu itolewe zaidi kuhusu usiri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIV_Community_15","HIV_Community",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIV_Community_16","HIV_Community",NA,NA,NA,NA,NA,NA,NA,NA,"Sababu  sizijui hizo huduma",NA,NA,NA,NA,NA,NA,NA
"HIV_Community_17","HIV_Community",NA,NA,"Watu wengine watakuwa hawafikiwi na HUDUMA kwa watu ambao watakuwa wanatoka mbali",NA,NA,NA,"Hapo Mimi sijui kwasababu sijui","Kwasababu vituo vingine havitoi huduma ya upimaji",NA,NA,NA,NA,NA,NA,NA,NA
"HIV_Community_18","HIV_Community",NA,NA,NA,NA,NA,NA,"Kwasababu huduma hii unaweka mda maalum wa kumaliza huduma hii",NA,NA,NA,NA,"Kwasababu walezi wengine hunyanyapaa",NA,NA,NA,NA
"HIV_Community_19","HIV_Community",NA,NA,NA,NA,NA,NA,"hudum tunazo pewa ni nzuri san",NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIV_Community_20","HIV_Community","ombilako tupate kituo cha afya kwa ukaribu ili tupate urahisi wa kupima afya zetu","itakua vizuri san endapo wata tujengea kitu karibu",NA,NA,NA,NA,NA,NA,"huduma ienderee zaid na zaid",NA,NA,NA,NA,NA,NA,NA
"HIV_Community_21","HIV_Community","huduma zienderee",NA,NA,NA,NA,NA,"huduma ienderee",NA,NA,"waenderee na huduma",NA,NA,NA,NA,NA,NA
"HIV_Community_22","HIV_Community","huduma iko vizuri","tukiwa na huduma karibu tutapat unafuu wa kucheki afya zetu","mtusogezee huduma karibu","waenderee na huduma mzuri",NA,NA,NA,NA,"waenderee na hudum",NA,NA,NA,NA,NA,NA,"huduma zienderee kutorewa zaid"
"HIV_Community_23","HIV_Community","kwa sababu tuna jua afya zetu kwa urahisi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIV_Community_24","HIV_Community",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIV_Community_25","HIV_Community",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIV_Community_26","HIV_Community",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIV_Community_27","HIV_Community",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIV_Community_28","HIV_Community",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIV_Community_29","HIV_Community",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIV_Community_30","HIV_Community",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIV_Community_31","HIV_Community",NA,NA,NA,NA,".",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIV_Community_32","HIV_Community",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIV_Community_33","HIV_Community",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIV_Community_34","HIV_Community",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIV_Community_35","HIV_Community",NA,NA,"Umbali wa kupata huduma",NA,NA,NA,NA,NA,"Umbali wa kupokea huduma hiyo ni mrefu",NA,NA,NA,NA,NA,NA,NA
"HIV_Community_36","HIV_Community",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIV_Community_37","HIV_Community",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIV_Community_38","HIV_Community",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIV_Community_39","HIV_Community",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIV_Community_40","HIV_Community",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIV_Community_41","HIV_Community",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIV_Community_42","HIV_Community",NA,NA,NA,NA,NA,NA,"Kwa sababu Mtu anaweza kufika kituoni asubui na asiudumiwe Kwa wakati pia muda wa kufunga kazi huwa ni mchache Sana angalau iwe ni masaa 24 na sio masaa 9",NA,NA,NA,NA,NA,NA,NA,NA,NA
"HIV_Community_43","HIV_Community","Huduma inapatikan sio kwa wingi hila mpak kituoni tunaomba huduma ifike kwenye mitaa",NA,NA,"maoni yangu kwenye heshima ni 50 kwa 50","Wahudum wengine wanatoa sir",NA,"Muda ni mwingi masaa mawil kam",NA,"ARV amna katika kituo chet tunaomba kuwepo kwa ARV kupunguza gharam kwenda mjin kupata dawa",NA,"Ni mara moja kwa mwak tena mpak sik ya ukimwi dunian","Tunaomba wadau na serikali Kuwazesha kiuchumi watu wanaoishi na vvu",NA,"Elim zitolew mara kwa mara",NA,"Sio zote wahudum wachache ARV amna"
"HIV_Community_44","HIV_Community",NA,NA,NA,NA,NA,NA,"Kuwa na uvimilivu kama kuna foleni",NA,NA,NA,"Wapimaji wawe wanakuja na kwenye serikali za mitaa","Waendelee kitoa misaada ili kisaidia jamii na kuboresha huduma zinazo tolewa","Kaya zingine azija fikiwa na misaada ya kinamii","Walezi wafundishe jishi ya kuishi na waviu wasibaguliwe","Waongeze bidii ya huduma Bora kwenye jamii","Wahudu wako vizur ila wagonjwa watekeleze Yale wanayo ambiwa madaktari"
