"question","pct_missing","flag"
"Access to HIV testing services in your community? / Upatikanaji wa huduma za upimaji wa VVU katika jamii yako?",0,"OK"
"Availability of HIV services when needed? / Uwepo wa huduma za VVU pale zinapohitajika katika jamii yako?",0,"OK"
"Distance and ease of reaching HIV services? / Umbali na urahisi wa kupata huduma za VVU katika jamii yako?",0,"OK"
"Respect shown by health care providers to clients? / Heshima inayotolewa na wahudumu wa afya kwa wapokea huduma za VVU",1.4,"OK"
"Privacy and confidentiality during HIV service provision? / Faragha na usiri wakati wa utoaji wa huduma za VVU.",1.4,"OK"
"Fairness and non-discrimination during service provision? / Usawa na kutokuwepo kwa ubaguzi wakati wa utoaji wa huduma",0,"OK"
"Waiting time at the health facility? / Muda wa kusubiria huduma za VVU katika kituo cha huduma",0,"OK"
"Availability of HIV testing services? / Uwepo wa huduma za upimaji wa VVU katika kituo?",1.4,"OK"
"Availability of ARVs and HIV medicines? / Uwepo wa ARV katika kituo?",0,"OK"
"Support provided by community health workers (CHWs)? / Msaada unaotolewa na CHWs katika huduma za VVU katika jamii?",1.4,"OK"
"HIV awareness activities conducted in the community? / Shughuli za uhamasishaji na elimu kuhusu VVU zinazofanyika katika jamii?",0,"OK"
"Availability of support groups for PLHIV and caregivers? / Uwepo wa makundi ya msaada kwa watu wanaoishi na VVU au walezi wa CLHIV?",2.9,"OK"
"Community support for people living with HIV/CLHIV, PBFW? / Msaada unaotoa jamii kwa CLHIV, PBFW, na kwa walezi wa CLHIV?",0,"OK"
"Efforts to reduce stigma and discrimination? / Jitihada za kupunguza unyanyapaa na kujitenga kwa CLHIV, walezi wa CLHIV au PBFW?",0,"OK"
"Overall, how satisfied are you with HIV services in your community? / Na huduma za VVU zinazotolewa katika jamii yako?",2.9,"OK"
"Overall, how satisfied are you with HIV services in your health facility? / Na huduma za VVU zinazotolewa katika kituo cha afya?",0,"OK"
