"respondent_id","group","sex","Access to HIV testing services in your community? / Upatikanaji wa huduma za upimaji wa VVU katika jamii yako?","Availability of HIV services when needed? / Uwepo wa huduma za VVU pale zinapohitajika katika jamii yako?","Distance and ease of reaching HIV services? / Umbali na urahisi wa kupata huduma za VVU katika jamii yako?","Respect shown by health care providers to clients? / Heshima inayotolewa na wahudumu wa afya kwa wapokea huduma za VVU","Privacy and confidentiality during HIV service provision? / Faragha na usiri wakati wa utoaji wa huduma za VVU.","Fairness and non-discrimination during service provision? / Usawa na kutokuwepo kwa ubaguzi wakati wa utoaji wa huduma","Waiting time at the health facility? / Muda wa kusubiria huduma za VVU katika kituo cha huduma","Availability of HIV testing services? / Uwepo wa huduma za upimaji wa VVU katika kituo?","Availability of ARVs and HIV medicines? / Uwepo wa ARV katika kituo?","Support provided by community health workers (CHWs)? / Msaada unaotolewa na CHWs katika huduma za VVU katika jamii?","HIV awareness activities conducted in the community? / Shughuli za uhamasishaji na elimu kuhusu VVU zinazofanyika katika jamii?","Availability of support groups for PLHIV and caregivers? / Uwepo wa makundi ya msaada kwa watu wanaoishi na VVU au walezi wa CLHIV?","Community support for people living with HIV/CLHIV, PBFW? / Msaada unaotoa jamii kwa CLHIV, PBFW, na kwa walezi wa CLHIV?","Efforts to reduce stigma and discrimination? / Jitihada za kupunguza unyanyapaa na kujitenga kwa CLHIV, walezi wa CLHIV au PBFW?","Overall, how satisfied are you with HIV services in your community? / Na huduma za VVU zinazotolewa katika jamii yako?","Overall, how satisfied are you with HIV services in your health facility? / Na huduma za VVU zinazotolewa katika kituo cha afya?"
"HIV_Community_1","HIV_Community","Male",3,3,3,3,3,3,3,5,5,5,1,1,1,1,NA,3
"HIV_Community_2","HIV_Community","Male",3,3,3,3,5,5,3,5,5,5,5,5,5,5,5,3
"HIV_Community_3","HIV_Community","Male",5,3,5,5,5,5,5,5,4,5,2,5,3,3,5,4
"HIV_Community_4","HIV_Community","Male",5,5,3,5,5,4,3,5,3,5,3,5,4,3,5,5
"HIV_Community_5","HIV_Community","Male",3,3,3,5,5,3,5,5,3,5,3,3,5,3,3,5
"HIV_Community_6","HIV_Community","Male",3,3,4,4,5,5,4,5,5,3,4,5,4,4,5,4
"HIV_Community_7","HIV_Community","Male",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"HIV_Community_8","HIV_Community","Male",5,5,5,5,5,5,5,5,5,5,5,NA,5,5,5,5
"HIV_Community_9","HIV_Community","Male",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"HIV_Community_10","HIV_Community","Male",3,4,5,5,5,4,3,3,4,4,4,4,5,3,4,4
"HIV_Community_11","HIV_Community","Male",5,4,4,3,5,4,3,5,4,4,5,3,4,4,3,4
"HIV_Community_12","HIV_Community","Male",5,3,4,5,4,3,4,5,4,5,4,4,2,2,2,3
"HIV_Community_13","HIV_Community","Male",4,3,4,3,3,4,4,4,4,4,4,4,3,4,3,4
"HIV_Community_14","HIV_Community","Male",5,3,4,4,2,4,3,4,3,5,4,5,3,4,4,5
"HIV_Community_15","HIV_Community","Male",4,3,4,4,3,4,3,4,4,4,3,4,5,3,4,5
"HIV_Community_16","HIV_Community","Male",4,4,3,4,4,4,4,4,2,4,3,4,3,4,4,4
"HIV_Community_17","HIV_Community","Male",4,4,1,4,4,4,1,3,4,4,4,4,4,5,5,5
"HIV_Community_18","HIV_Community","Male",4,4,4,4,4,4,1,4,4,4,4,1,4,4,4,3
"HIV_Community_19","HIV_Community","Male",3,5,3,5,4,3,3,3,4,4,3,4,5,5,3,5
"HIV_Community_20","HIV_Community","Male",3,3,5,4,3,4,3,5,4,3,5,4,3,5,3,4
"HIV_Community_21","HIV_Community","Male",3,3,5,5,5,5,3,3,5,5,4,4,5,3,5,5
"HIV_Community_22","HIV_Community","Male",5,3,2,3,5,5,3,5,5,5,5,5,4,5,5,5
"HIV_Community_23","HIV_Community","Male",5,5,4,5,3,5,5,4,5,5,3,5,3,4,3,5
"HIV_Community_24","HIV_Community","Male",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"HIV_Community_25","HIV_Community","Male",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"HIV_Community_26","HIV_Community","Male",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"HIV_Community_27","HIV_Community","Male",3,3,3,4,5,4,3,3,5,3,4,3,4,3,3,3
"HIV_Community_28","HIV_Community","Male",3,4,5,4,4,4,4,4,3,4,5,2,4,3,5,4
"HIV_Community_29","HIV_Community","Male",3,4,4,2,3,4,3,5,5,5,4,3,4,3,4,4
"HIV_Community_30","HIV_Community","Male",4,2,3,3,3,3,3,3,4,3,3,3,3,3,3,2
"HIV_Community_31","HIV_Community","Male",4,4,5,5,5,4,4,4,4,2,3,3,4,3,3,3
"HIV_Community_32","HIV_Community","Male",5,2,4,4,3,4,4,3,3,3,4,3,4,4,4,4
"HIV_Community_33","HIV_Community","Male",3,3,3,3,3,3,5,4,5,5,5,5,4,3,5,5
"HIV_Community_34","HIV_Community","Male",4,5,5,3,4,4,3,3,4,3,3,3,3,3,3,2
"HIV_Community_35","HIV_Community","Male",5,5,2,5,5,5,5,5,2,5,5,5,5,5,5,5
"HIV_Community_36","HIV_Community","Male",4,5,3,4,5,3,5,5,5,5,3,3,3,5,5,5
"HIV_Community_37","HIV_Community","Male",5,4,3,5,5,5,5,3,5,3,3,3,5,5,3,5
"HIV_Community_38","HIV_Community","Male",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"HIV_Community_39","HIV_Community","Male",4,3,3,4,4,3,5,4,5,4,5,3,3,5,5,3
"HIV_Community_40","HIV_Community","Male",5,5,5,5,5,5,5,NA,5,NA,5,5,5,5,5,5
"HIV_Community_41","HIV_Community","Male",5,4,3,4,5,5,5,5,5,5,5,5,4,5,4,4
"HIV_Community_42","HIV_Community","Male",5,4,5,3,4,5,1,5,5,5,4,5,5,5,4,4
"HIV_Community_43","HIV_Community","Male",3,3,3,2,1,3,2,3,1,1,1,1,1,1,2,2
"HIV_Community_44","HIV_Community","Male",3,4,1,3,3,4,3,3,3,4,3,3,3,3,3,3
"HIV_Community_45","HIV_Community","Male",3,3,2,3,2,4,3,3,3,1,2,1,1,3,4,4
"HIV_Community_46","HIV_Community","Male",1,2,2,2,3,3,1,4,3,3,4,4,1,1,1,1
"HIV_Community_47","HIV_Community","Male",3,3,2,2,1,1,1,4,4,4,5,3,1,3,4,3
