"respondent_id","group","maoni_01","maoni_02","maoni_03","maoni_04","maoni_05","maoni_06","maoni_07","maoni_08","maoni_09","maoni_10","maoni_11","maoni_12","maoni_13","maoni_14","maoni_15","maoni_16","maoni_17","maoni_18","maoni_19","maoni_20","maoni_21","maoni_22","maoni_23","maoni_24","maoni_25","maoni_26","maoni_27","maoni_28","maoni_29","maoni_30","maoni_31","maoni_32","maoni_33","maoni_34","maoni_35","maoni_36","maoni_37","maoni_38","maoni_39","maoni_40","maoni_41","maoni_42","maoni_43","maoni_44","maoni_45","maoni_46","maoni_47","maoni_48","maoni_49","maoni_50","maoni_51","maoni_52","maoni_53","maoni_54","maoni_55","maoni_56","maoni_57","maoni_58","maoni_59","maoni_60","maoni_61","maoni_62","maoni_63","maoni_64","maoni_65","maoni_66","maoni_67","maoni_68","maoni_69","maoni_70","maoni_71","maoni_72","maoni_73","maoni_74","maoni_75","maoni_76","maoni_77","maoni_78","maoni_79","maoni_80","maoni_81","maoni_82","maoni_83","maoni_84","maoni_85","maoni_86","maoni_87","maoni_88","maoni_89","maoni_90","maoni_91","maoni_92","maoni_93"
"Healthcare_Providers_1","Healthcare_Providers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Healthcare_Providers_2","Healthcare_Providers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vinapatikana na tunatoa huduma hiyo","Ndio zinapatikana","Ujumbe unaeleweka","Elimu inatolewa kwa kila mama anaye nyonyesha anaye fika kituoni anapata elimu hiyo","Dawa chache","Kuna wengine hawazingatii dawa muda wa kunywa na utunzaji wa dawa","Huduma hiyo ipo na inafanya kazi vizury","Wapokea huduma huwa wanachangamoto zao ikiwemo kujihamisha kituo au kutumia dawa eidha mwenza wake au rafiki au ndugu","Majibu yanachelewa kutoka maabara","Zinafanya kazi vizury","Majibu kunamuda yanarudi machache tofauti na Idadi tulio peleka kwa mfano unaweza kupeleka majibu 15 yakarudi 11","Yanachukua muda sana kurudi ni zaidi ya wiki mbili","Zinatolewa kwa wingi na zinapatikana kwa wakati
","Zinapatikana kwa wakati","Zinapatikana kwa wakati","Huduma hii ni chache na Haina bei elekeziii","Elimu Bado inahitajika kuendelea kutolewa","Wengi wao ni wasiri sana","Huwa no wasiri sana wanakuwa hawaweki wazi hali zao za maambukizi kwa kuogopa kuachwa au unyanyapaa","Wazi wengi hawana ujasiri wa kuwa weka wazi watoto wao","Hawana uwelewa juu ya unyanyapaa na ubaguzi","Elimu izidi kutolewa dhidi ya unyanyapaa na ubaguzii","Wanafamilia wengi wao hawana uwelewa wa ubaguzii na unyanyapaaa","Elimu izidi kutolewa","Bado inahitajika uwendelevu wa elimu","Mlengwa anakuwa msiri au haelewii kama anafanyiwa unyanyapaa au ubaguzii hivyo elimu Bado inahitajika kwenye jamiii na ngazi ya familia pia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Healthcare_Providers_3","Healthcare_Providers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Elimu iwe endelevu kwa wapokea huduma",NA,NA,NA,NA,NA,"Machine ziongezwe kwaajili ya vituo vingne ambayo vinahudama ya ctc na maabara",NA,NA,NA,NA,NA,NA,NA,"Elimu iwe endelevu kwa wapokea huduma zidi ya huduma ya kinga","Elimu itolewe zidi ya uwaz hasa kwa weza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Healthcare_Providers_4","Healthcare_Providers","Nafas zinazotokq ni chake hazikidhi idadi ya watoa huduma waliopo kwenye kituo","Ziongeze nafas ili kusaidi kupata mafunzo kwa watoa huduma",NA,NA,"Waongeze idadi ya watoa huduma ngaz ya jamii ili kuwahikia wateja kwa uharaka zaid
","Waongezwe ili kuwafikia wateja zaid",NA,"Watoa huduma wafate miongozo iliyopo",NA,NA,"Elimu eindelee kutolewazidi ya watoa huduma",NA,NA,"Elimu iendelee kutolewa zidi ya unyanyapaa na ubaguzi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Healthcare_Providers_5","Healthcare_Providers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Iongezeke huduma ya vitendanishi",NA,NA,NA,NA,NA,"Elimu itolewe hasa kwa wamama ili waweze kuwashirikisha weza wao",NA,NA,NA,"Elimu itolewe kwa watoa huduma zidi ya unyanyapaa na ubaguzi","Elimu iendlee kutolewa kwa watoa huduma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Healthcare_Providers_6","Healthcare_Providers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Changamoto zipo elimu iendelee kutolewa","Mapokeo sio makubwa xana ni yataratibu",NA,NA,"Majibu hayarudi kwa wakati na mda mwingine yanapotea kabsa","Hakuna majibu ya kueleweka kutoka maabara",NA,NA,"Baadhi wanajua hali za wenza wa na baadhi wanajua hali za wenza wao","Wengi wanakuja wakiwa na wtt tayar",NA,"Ushirikiano mdogo kutoka kwa wanaoishi na maambukizi","Baadhi ya wahudumu hawana elimu ya kutosha kuhusu elimu hii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Healthcare_Providers_7","Healthcare_Providers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sipo vizuri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mikakati ipo hila hatujui utekelezaji kwenye jamii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Healthcare_Providers_8","Healthcare_Providers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Elimi ya dawa itolewe kwa kiwango kikubwa","Kila wanapo fika katika mahudhulio ya kriniki  Elimu izidi kutolewa mara kwa mar","Pendekezo kwamba ijaribu ku fafanuliwa kwa ukubwa","Elimu izidi",NA,NA,NA,NA,"Vifaa viongezwe",NA,NA,NA,NA,NA,NA,"Huduma za tohara ziludishe",NA,"Kutokana na matokeo yampokea huduma (jamii)",NA,"Elimu kutolewa kwa wazazi/walez juu ya kumuweka wazi mtoto","Elimu izidi kutolewa","Elimu izidi kutolewa","Elimu izidi kutolewa","Elimu izidi kutolewa kwa jamii kuhusu.","Elimu katika jamii ni ndogo sana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Healthcare_Providers_9","Healthcare_Providers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Baadhi ya mama wanashindwa kujiweka wazi hali zao","Walezi hawazingatii watoto","Baadhi ya watu wakipokea taarifa  hiyo huachilia dawa wakihisi wamepona","Baadhi ya wamama hawaji katika kliniki yao kwa wakati kama ilovyo talatibu",NA,"Baadhi ya waviu hawazingatii dawa kwa muda uliopangwa",NA,"Baadhi ya waviu kutokujali halizao ,kujinyanyapaa na hata kutotumia dawa kwa usahihi","Kwasababu ukosefu wa mashine ya kupimia wingi wa virusi","Kwa sababu hakuna mashine","Baadhi ya sampuli huchelewa kufuatwa kituoni pia kupotea.","Bado majibu yanachelewa",NA,NA,NA,NA,"Baadhi ya waviu hawajawaweka wazi wenza wao","Baadhi ya walezi wanashindwa kuwaweka wazi watoto wao kuhusu hali zao za maambukizi","Baadhi ya wazazi hawajawashilikisha watoto hali zao za maambukizi",NA,"Baadhi ya mazingira ya waviu hajajikubali hali zao",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Healthcare_Providers_10","Healthcare_Providers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
