"question","pct_missing","flag"
"Mwongozo wa serikali kwa utoaji huduma za UKIMWI",75,"HIGH (>50%)"
"Matumizi ya miongozo iliyopo",75,"HIGH (>50%)"
"Utunzaji wa taarifa za wapokea huduma",75,"HIGH (>50%)"
"Elimu na uelewa wa watoa huduma juu ya ubaguzi na unyanyapaa...41",75,"HIGH (>50%)"
"Lugha, tabia na matendo ya watoa huduma za afya kwa WAVIU...43",75,"HIGH (>50%)"
"Juhudi za kuzuia ubaguzi na unyanyapaa katika vituo vya afya na jamii...45",75,"HIGH (>50%)"
"Huduma kwa waliokumbwa na unyanyapaa na ubaguzi...47",75,"HIGH (>50%)"
"Mapokeo ya wenza au wanafamilia baada ya kujiweka wazi kwa hali ya maambukizi...49",75,"HIGH (>50%)"
"Elimu ya dawa za ART kwa wamama WAVIU/AGYW/ABYMs...52",66.7,"HIGH (>50%)"
"Elimu ya dawa za ART kwa wazazi/walezi...54",66.7,"HIGH (>50%)"
"Meseji zinazotumika kuhusu Havionekani = Haviambukizi (H=H)...56",66.7,"HIGH (>50%)"
"Elimu ya unyonyeshaji kwa wamama WAVIU...58",66.7,"HIGH (>50%)"
"Upatikanaji wa vitendanishi",66.7,"HIGH (>50%)"
"Usafirishaji wa sampuli za DBS",66.7,"HIGH (>50%)"
"Muda wa kurudi majibu ya DBS",66.7,"HIGH (>50%)"
"Mrejesho toka maabara kuhusu majibu ya DBS (At birth to FO)",66.7,"HIGH (>50%)"
"Utoaji wa huduma",66.7,"HIGH (>50%)"
"Mahudhurio ya mama mjamzito, mama anayenyonyesha",66.7,"HIGH (>50%)"
"Ushirikishwaji na uhusika wa wenza (Index)",66.7,"HIGH (>50%)"
"Mzunguko wa upimaji VVU kwa wajawazito",66.7,"HIGH (>50%)"
"Uelewa wa wamama waliojifungua juu ya elimu  inayotolewa baada ya kujifungua",66.7,"HIGH (>50%)"
"Msaada kutoka kwa wenza na wanafamilia",66.7,"HIGH (>50%)"
"Elimu na uelewa wa watoa huduma juu ya ubaguzi na unyanyapaa...84",66.7,"HIGH (>50%)"
"Lugha, tabia na matendo ya watoa huduma za afya kwa WAVIU...86",66.7,"HIGH (>50%)"
"Juhudi za kuzuia ubaguzi na unyanyapaa katika vituo vya afya na jamii...88",66.7,"HIGH (>50%)"
"Huduma kwa waliokumbwa na unyanyapaa na ubaguzi...90",66.7,"HIGH (>50%)"
"Mapokeo ya wenza au wanafamilia baada ya kujiweka wazi kwa hali ya maambukizi...92",66.7,"HIGH (>50%)"
"Elimu ya dawa za ART kwa wamama WAVIU/AGYW/ABYMs...95",58.3,"HIGH (>50%)"
"Elimu ya dawa za ART kwa wazazi/walezi...97",58.3,"HIGH (>50%)"
"Meseji zinazotumika kuhusu Havionekani = Haviambukizi (H=H)...99",58.3,"HIGH (>50%)"
"Elimu ya unyonyeshaji kwa wamama WAVIU...101",58.3,"HIGH (>50%)"
"Upatikanaji wa dawa za watoto (DTG10) kwenye kituo cha Afya",58.3,"HIGH (>50%)"
"Kiwango cha dawa anazopewa mpokea huduma kutumia nyumbani",58.3,"HIGH (>50%)"
"Ushirikiano kati ya kliniki za CTC/RCH na afua za Watoto yatima (OVC program)",58.3,"HIGH (>50%)"
"Kurudisha watoro wa dawa kwenye huduma",58.3,"HIGH (>50%)"
"Upatikanaji wa mashine za kupima wingi wa virusi",58.3,"HIGH (>50%)"
"Ufanyaji kazi wa mashine za kupima wingi wa virusi",58.3,"HIGH (>50%)"
"Usimamizi wa sampuli za wingi wa virusi",58.3,"HIGH (>50%)"
"Muda wa kurudi majibu ya wingi wa virusi (wiki 2)",58.3,"HIGH (>50%)"
"Usambazaji wa kondomu",58.3,"HIGH (>50%)"
"Utoaji wa dawa ya kuzuia maambukizi ndani ya masaa 72 (PEP)",58.3,"HIGH (>50%)"
"Usambazaji wa dawa kinga (PrEP)",58.3,"HIGH (>50%)"
"Upatikanaji na utumiaji wa huduma za tohara",58.3,"HIGH (>50%)"
"Uelewa wa huduma za kinga kwa wapokea huduma",58.3,"HIGH (>50%)"
"Mrejesho kutoka kwa mpokea huduma kuhusu kuweka wazi hali ya maambukizi",58.3,"HIGH (>50%)"
"Kuweka wazi hali ya maambukizi kwa watoto (Partial  & Full)",58.3,"HIGH (>50%)"
"Uelewa juu ya utoaji wa huduma ya kusaidia mzazi kumuweka wazi mtoto hali ya maambukizi",58.3,"HIGH (>50%)"
"Uelewa kuhusu unyanyapaa na ubaguzi kwa WAVIU",58.3,"HIGH (>50%)"
"Mikakati ya kupunguza unyanyapaa kwa mtu mmoja mmoja",58.3,"HIGH (>50%)"
"Mikakati ya kupunguza unyanyapaa kwa wana familia",58.3,"HIGH (>50%)"
"Mikakati ya kupunguza unyanyapaa kwenye jamii",58.3,"HIGH (>50%)"
"Njia za kupunguza unyanyapaa na ubaguzi kwa WAVIU",58.3,"HIGH (>50%)"
"Huduma zinazotolewa kwa wahanga wa unyanyapaa na ubaguzi",58.3,"HIGH (>50%)"
