"respondent_id","group","sex","Mwongozo wa serikali kwa utoaji huduma za UKIMWI","Matumizi ya miongozo iliyopo","Utunzaji wa taarifa za wapokea huduma","Elimu na uelewa wa watoa huduma juu ya ubaguzi na unyanyapaa...41","Lugha, tabia na matendo ya watoa huduma za afya kwa WAVIU...43","Juhudi za kuzuia ubaguzi na unyanyapaa katika vituo vya afya na jamii...45","Huduma kwa waliokumbwa na unyanyapaa na ubaguzi...47","Mapokeo ya wenza au wanafamilia baada ya kujiweka wazi kwa hali ya maambukizi...49","Elimu ya dawa za ART kwa wamama WAVIU/AGYW/ABYMs...52","Elimu ya dawa za ART kwa wazazi/walezi...54","Meseji zinazotumika kuhusu Havionekani = Haviambukizi (H=H)...56","Elimu ya unyonyeshaji kwa wamama WAVIU...58","Upatikanaji wa vitendanishi","Usafirishaji wa sampuli za DBS","Muda wa kurudi majibu ya DBS","Mrejesho toka maabara kuhusu majibu ya DBS (At birth to FO)","Utoaji wa huduma","Mahudhurio ya mama mjamzito, mama anayenyonyesha","Ushirikishwaji na uhusika wa wenza (Index)","Mzunguko wa upimaji VVU kwa wajawazito","Uelewa wa wamama waliojifungua juu ya elimu  inayotolewa baada ya kujifungua","Msaada kutoka kwa wenza na wanafamilia","Elimu na uelewa wa watoa huduma juu ya ubaguzi na unyanyapaa...84","Lugha, tabia na matendo ya watoa huduma za afya kwa WAVIU...86","Juhudi za kuzuia ubaguzi na unyanyapaa katika vituo vya afya na jamii...88","Huduma kwa waliokumbwa na unyanyapaa na ubaguzi...90","Mapokeo ya wenza au wanafamilia baada ya kujiweka wazi kwa hali ya maambukizi...92","Elimu ya dawa za ART kwa wamama WAVIU/AGYW/ABYMs...95","Elimu ya dawa za ART kwa wazazi/walezi...97","Meseji zinazotumika kuhusu Havionekani = Haviambukizi (H=H)...99","Elimu ya unyonyeshaji kwa wamama WAVIU...101","Upatikanaji wa dawa za watoto (DTG10) kwenye kituo cha Afya","Kiwango cha dawa anazopewa mpokea huduma kutumia nyumbani","Ushirikiano kati ya kliniki za CTC/RCH na afua za Watoto yatima (OVC program)","Kurudisha watoro wa dawa kwenye huduma","Upatikanaji wa mashine za kupima wingi wa virusi","Ufanyaji kazi wa mashine za kupima wingi wa virusi","Usimamizi wa sampuli za wingi wa virusi","Muda wa kurudi majibu ya wingi wa virusi (wiki 2)","Usambazaji wa kondomu","Utoaji wa dawa ya kuzuia maambukizi ndani ya masaa 72 (PEP)","Usambazaji wa dawa kinga (PrEP)","Upatikanaji na utumiaji wa huduma za tohara","Uelewa wa huduma za kinga kwa wapokea huduma","Mrejesho kutoka kwa mpokea huduma kuhusu kuweka wazi hali ya maambukizi","Kuweka wazi hali ya maambukizi kwa watoto (Partial  & Full)","Uelewa juu ya utoaji wa huduma ya kusaidia mzazi kumuweka wazi mtoto hali ya maambukizi","Uelewa kuhusu unyanyapaa na ubaguzi kwa WAVIU","Mikakati ya kupunguza unyanyapaa kwa mtu mmoja mmoja","Mikakati ya kupunguza unyanyapaa kwa wana familia","Mikakati ya kupunguza unyanyapaa kwenye jamii","Njia za kupunguza unyanyapaa na ubaguzi kwa WAVIU","Huduma zinazotolewa kwa wahanga wa unyanyapaa na ubaguzi"
"Healthcare_Providers_1","Healthcare_Providers","Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,4,3,3,4,3,4,4,4,4,4,5,4,3,3,3,2,3,3,4,4,4,4,4,4
"Healthcare_Providers_2","Healthcare_Providers","Female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,2,1,3,1,1,3,1,1,3,4,4,1,2,2,1,1,1,1,1,1,1,1
"Healthcare_Providers_3","Healthcare_Providers","Female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,4,4,4,4,4,4,1,5,4,4,4,4,4,4,2,3,4,3,4,3,4,4,5,5
"Healthcare_Providers_4","Healthcare_Providers","Male",5,2,4,5,1,5,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Healthcare_Providers_5","Healthcare_Providers","Female",NA,NA,NA,NA,NA,NA,NA,NA,4,4,5,4,2,5,4,4,4,4,1,5,4,4,2,2,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Healthcare_Providers_6","Healthcare_Providers","Female",NA,NA,NA,NA,NA,NA,NA,NA,4,4,2,2,4,4,1,2,5,4,2,2,5,2,2,5,3,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Healthcare_Providers_7","Healthcare_Providers","Female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,1,3,3,3,3,3,3,3,3,3,3
"Healthcare_Providers_8","Healthcare_Providers","Male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,3,5,3,4,4,1,1,1,1,3,3,3,1,3,2,5,2,2,2,2,2,1,3
"Healthcare_Providers_9","Healthcare_Providers","Female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,4,3,5,3,5,2,1,1,2,3,5,5,5,5,3,3,2,5,2,5,5,5,5,5
"Healthcare_Providers_10","Healthcare_Providers","Male",NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
