"respondent_id","group","maoni_01","maoni_02","maoni_03","maoni_04","maoni_05","maoni_06","maoni_07","maoni_08","maoni_09","maoni_10","maoni_11","maoni_12","maoni_13","maoni_14","maoni_15","maoni_16","maoni_17","maoni_18","maoni_19","maoni_20"
"Key_Informants_1","Key_Informants",NA,NA,"Tuwezeshwa kufanya huduma mkoba kwa maeneo yasio fikika kilahisi",NA,NA,NA,NA,NA,NA,NA,"Jamii iendelee kupewa helimu juu ya matumiz sahihi ya ARV","Kwasababu watoa huduma bado hawana huelewa mkubwajuu namna ya kumueleza mtoto na mzazi juu ya hali ya maambukizi",NA,NA,NA,NA,"Pendekezo vikao vifanyike kila robo muhula kati ya wahudumu ngazi ya jamii watoa huduma ili kupata mlejesho wa nini kimefanyika kati ya jamii na kituon",NA,NA,NA
"Key_Informants_2","Key_Informants","Ushauli jamii ielimishwe kuja kupima",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kwasababu ni wachache wenye uelewa",NA,NA,"Kwasababu wale walio helimishwa wana fanya kazi vizuri",NA,NA,"Wanajitaidi kuleta kwa wakati",NA
"Key_Informants_3","Key_Informants",NA,NA,NA,NA,NA,NA,"Kwasababu majinu yanaludi kwa wakat",NA,NA,"Wako vizuri katika kuwa fuatilia/ufuatiliaji","Changamoto ushirikiano ni mdog",NA,NA,NA,NA,"Pendekezo Elimu izidi kutolewa",NA,NA,NA,NA
"Key_Informants_4","Key_Informants","erim zienderee kutorewa zaid na zaid",NA,NA,NA,"nikuongeza ufatiriaji wa huduma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Key_Informants_5","Key_Informants",NA,NA,NA,"Hakuna mrejesho ngazi ya kata kuhusu Huduma mkoba",NA,NA,NA,".",NA,NA,"Jamiii haina mapokeo mazuri",NA,NA,NA,NA,"Vifo vimepungua",NA,NA,NA,NA
"Key_Informants_6","Key_Informants",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Key_Informants_7","Key_Informants",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Key_Informants_8","Key_Informants",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Elimu zaidi itolewe kwa jamii juu ya umuhimu wa upimaji wa vvu",NA,NA,NA,"Elimu izidi kutolewa kwa jamii juu ya vvu",NA,NA,NA,NA,NA
"Key_Informants_9","Key_Informants",NA,"Ni changamoto Kwa watu kujua Hali zao kweny jamii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Key_Informants_10","Key_Informants",NA,NA,NA,NA,NA,NA,NA,"Watoa huduma wachache hawatoshi mtoa huduma mmoja anafanya majukum mawil hadi matatu kwa mteja mmoja",NA,NA,NA,NA,"Jamii bad uelew ni mdog",NA,"Elimu inatakiwa san bado Jamii inaunyanyapaa","Elim iendelee kutolewa",NA,NA,NA,NA
"Key_Informants_11","Key_Informants","Wanapatiwa huduma kwa wakati",NA,"Hakua na hyo elimu",NA,"Kuna baadhi ya wanaopatiwa huduma hawana rishe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Key_Informants_12","Key_Informants",NA,NA,"Hafahamu huduma mkoba",NA,NA,NA,NA,NA,NA,NA,NA,"Jamii bado haina elimu ya kutosha",NA,NA,NA,NA,NA,NA,NA,NA
"Key_Informants_13","Key_Informants",NA,NA,NA,"Jitiada iongezwe kwa ngazi ya jamii katika ufuatiliaji(motisha)",NA,"Jitiada iongezwe","Wanajitaidi kwa wakat",NA,NA,NA,NA,NA,NA,NA,"Jitiada kwa wahudumu ziwe kwa kiwango kikubwa",NA,NA,NA,NA,NA
"Key_Informants_14","Key_Informants",NA,NA,"*changamoto ni usafiri.",NA,NA,NA,NA,NA,NA,NA,"*kwasababu waviu wenyewe bado wanajinyanya paa",NA,NA,"*kwasababu mama vinara wengi hawatoi ushauli vizuri",NA,"*kwasababu baadhi ya wazazi/walezi bado Wana wanyanyapaa waviu",NA,"*kwasababu baadhi ya wadau wanachukua watu wachache na wengine kua chwa katika ziara zao ko wengine wanashinda kutoa changamoto zao",NA,NA
"Key_Informants_15","Key_Informants",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Siridhiki nao kwasababu hawafanyi vzr inabidi tushirikiane nao Kwa pamoja",NA,NA,NA
"Key_Informants_16","Key_Informants",NA,NA,"Kwa sababu hawajafikiwa jamii yote",NA,NA,NA,NA,"Huduma ya upimaji wa sampling unapatikana katka vituo vichache",NA,NA,"Bado kuna unyanyapaa katka jamii","Watoa huduma wana uelewa mdogo kwa kuwaelimisha wtt kujiweka waz","Muitikio bado ni mdogo jamii inabidi iwe mbele zaid",NA,"Naridhika na tour matokeo bado",NA,NA,NA,NA,NA
"Key_Informants_17","Key_Informants",NA,NA,"Kunabaadhi ya maeneo tunashindwa kufika",NA,NA,NA,"Kunachangamoto ya usafirishaji na toaji huduma","Elimu itolewe kwenye vituo kwa kufata miongozo","Hakuna mafunza ya elekezi ya ushauri na saa","Wapokea huduma kutoa harifa zisizo lasmi","Bado Kuna unyanyaa na ubaguzi","Uwekezaji haulizishi",NA,NA,NA,"Unyanyaa upo kwa kiwango kikubwa","Hawafiki katika kata zotezilizo pangwa","Changamoto za usafiri ili kufika katika vituo husika","Vitendea Kaz hakuna, changamoto za usafiri",NA
"Key_Informants_18","Key_Informants",NA,"Kwasababu watoto wengi hawajafikiwa ambao wako mbali nahuduma","Kwasababu wengi bado hawaja fikiwa",NA,NA,NA,"Kwasababu badhi vituo upatikaniji nimgumu kwasababu ya watumishi wachache wanakuwa nakazi nyingi kiasikwamba wanasahu kufuatilia hiduma ya dbs na hvl",NA,"Kwasababu watumishi wengi wa afya hawajapata mafunzo  ya unasihi (councelling),hivo kutoa dawa kwa mazoea ndio maana kwa baadhi ya wateja ufuasi wa  dawa ni wa kusuasua.. Ushauri mafunzo ya unasihi yafanyike kea watumishi.",NA,"Jamii nyingi haitambui watu wanaoishi na VVU, na wenye VVU hawajajitambulisha kwa jamii ili kupata msaada pale anapohitaji.
Kwa wale ambao ndugu wanajua kuwa kuna mtu kwenye familia yao anaishi na maambuki jamii hiuo inatoa msaada na wakati mwingine kumsaidia kufauata dawa na kimkumbusha muda wa kimeza.","Kama kwa mzazi naridhika nao, kwa sababu mzazi lazima ajue afya wake ili afatilie, lakini kama jamii hapo hakuna mzazi ambaye yuko tayari kutangaza afya ya mwanae","Wakialikwa au kushirikishwa wanashiriki, lkn pia wao kwa  wao wanaambizana kuhusu upimaji wa VVU",NA,NA,"Kuna wale watoto ambao wanaishi na bibi zao na hao bibi ni vikongwe mno , msaadavwao kwa hao watoto hasa ufatiliaji wa dawa ni hafifu mno, kwa kuwa bibi  ana uchumi mdogo na hafifu",NA,"Wanatushirikisha","Kuna wale wamaoishi na VVU wanaishi mbali huduma, hivo CBHS anatakiwa kwenda kuwatembelea mara kwa mara, so anakosa usafiri",NA
"Key_Informants_19","Key_Informants",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Key_Informants_20","Key_Informants",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Key_Informants_21","Key_Informants",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Key_Informants_22","Key_Informants",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Key_Informants_23","Key_Informants",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
