"question","pct_missing","flag"
"Unapimaje upatikanaji wa huduma za VVU katika kituo/jamii yako?",0,"OK"
"Unapimaje upatikanaji wa huduma za upimaji wa VVU kwa watoto wanaoishi na VVU na wajawazito/wanaonyonyesha (PBFW)?",0,"OK"
"Unapimaje huduma mkoba (outreach) kwa makundi yaliyopo maeneo magumu kufikika?",0,"OK"
"Unapimaje mfumo wa uunganishaji wa huduma za VVU kati ya jamii na vituo vya afya?",0,"OK"
"Unapimaje ubora wa huduma za matunzo na matibabu ya VVU zinazotolewa?",0,"OK"
"Unapimaje faragha na usiri wakati wa utoaji wa huduma za VVU?",4.3,"OK"
"Unapimaje upatikanaji wa ARVs, huduma za DBS, na vipimo vya viral load?",0,"OK"
"Unapimaje mwitikio wa wahudumu wa afya kwa mahitaji ya wateja?",0,"OK"
"Unapimaje huduma za ushauri kuhusu ufuasi wa matumizi ya dawa?",0,"OK"
"Unapimaje mfumo wa ufuatiliaji na utafutaji wa WAVIU waliokatisha matibabu?",0,"OK"
"Unapimaje mchango wa jamii katika kusaidia WAVIU kudumu kwenye huduma?",0,"OK"
"Unapimaje huduma za kusaidia uwekaji wazi wa hali ya maambukizi kwa watoto wanaoishi na VVU?",4.3,"OK"
"Unapimaje ushiriki wa jamii katika shughuli zinazohusiana na VVU?",0,"OK"
"Unapimaje ushiriki wa CHWs, mama vinara, waelimishaji rika, wakunga wa jadi katika huduma za VVU?",0,"OK"
"Unapimaje juhudi za kupunguza unyanyapaa na ubaguzi unaohusiana na VVU?",0,"OK"
"Unapimaje ushiriki wa walezi na familia katika kusaidia watoto wanaoishi na VVU na PBFW?",0,"OK"
"Unapimaje uratibu kati ya wadau wanaotekeleza huduma za VVU?",0,"OK"
"Unapimaje shughuli za ziara shirikishi?",0,"OK"
"Unapimaje upatikanaji wa rasilimali kwa ajili ya utekelezaji wa programu za VVU?",0,"OK"
"Kwa ujumla, unapimaje ufanisi wa huduma za VVU katika eneo lako?",0,"OK"
