"respondent_id","group","sex","Unapimaje upatikanaji wa huduma za VVU katika kituo/jamii yako?","Unapimaje upatikanaji wa huduma za upimaji wa VVU kwa watoto wanaoishi na VVU na wajawazito/wanaonyonyesha (PBFW)?","Unapimaje huduma mkoba (outreach) kwa makundi yaliyopo maeneo magumu kufikika?","Unapimaje mfumo wa uunganishaji wa huduma za VVU kati ya jamii na vituo vya afya?","Unapimaje ubora wa huduma za matunzo na matibabu ya VVU zinazotolewa?","Unapimaje faragha na usiri wakati wa utoaji wa huduma za VVU?","Unapimaje upatikanaji wa ARVs, huduma za DBS, na vipimo vya viral load?","Unapimaje mwitikio wa wahudumu wa afya kwa mahitaji ya wateja?","Unapimaje huduma za ushauri kuhusu ufuasi wa matumizi ya dawa?","Unapimaje mfumo wa ufuatiliaji na utafutaji wa WAVIU waliokatisha matibabu?","Unapimaje mchango wa jamii katika kusaidia WAVIU kudumu kwenye huduma?","Unapimaje huduma za kusaidia uwekaji wazi wa hali ya maambukizi kwa watoto wanaoishi na VVU?","Unapimaje ushiriki wa jamii katika shughuli zinazohusiana na VVU?","Unapimaje ushiriki wa CHWs, mama vinara, waelimishaji rika, wakunga wa jadi katika huduma za VVU?","Unapimaje juhudi za kupunguza unyanyapaa na ubaguzi unaohusiana na VVU?","Unapimaje ushiriki wa walezi na familia katika kusaidia watoto wanaoishi na VVU na PBFW?","Unapimaje uratibu kati ya wadau wanaotekeleza huduma za VVU?","Unapimaje shughuli za ziara shirikishi?","Unapimaje upatikanaji wa rasilimali kwa ajili ya utekelezaji wa programu za VVU?","Kwa ujumla, unapimaje ufanisi wa huduma za VVU katika eneo lako?"
"Key_Informants_1","Key_Informants","Male",3,3,1,3,3,3,3,4,3,4,4,1,3,3,4,4,4,3,4,4
"Key_Informants_2","Key_Informants","Male",4,4,2,4,4,4,2,4,4,4,4,3,2,4,4,4,4,4,4,4
"Key_Informants_3","Key_Informants","Male",4,4,4,4,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5
"Key_Informants_4","Key_Informants","Male",3,5,4,5,2,3,3,3,5,5,3,3,4,3,3,4,5,3,5,3
"Key_Informants_5","Key_Informants","Male",3,3,1,1,3,3,3,2,3,3,1,3,3,3,3,3,3,3,2,2
"Key_Informants_6","Key_Informants","Male",5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5
"Key_Informants_7","Key_Informants","Male",3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3
"Key_Informants_8","Key_Informants","Male",5,5,5,5,5,5,5,5,5,5,3,NA,5,5,3,5,5,5,5,5
"Key_Informants_9","Key_Informants","Male",2,1,4,2,4,5,5,4,4,5,5,5,1,2,4,5,4,4,4,4
"Key_Informants_10","Key_Informants","Male",3,5,5,5,5,4,5,2,5,5,3,3,3,5,3,3,5,3,5,3
"Key_Informants_11","Key_Informants","Male",4,4,2,4,2,4,4,4,4,2,4,4,5,5,3,5,4,4,3,4
"Key_Informants_12","Key_Informants","Male",4,3,1,4,3,4,4,4,4,4,3,2,4,2,5,4,3,3,2,5
"Key_Informants_13","Key_Informants","Male",4,4,4,4,4,4,4,4,4,4,4,5,4,5,5,5,4,5,3,4
"Key_Informants_14","Key_Informants","Male",4,4,1,4,4,4,5,5,5,5,1,5,2,2,5,2,3,1,5,4
"Key_Informants_15","Key_Informants","Male",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5
"Key_Informants_16","Key_Informants","Male",4,5,2,5,4,5,5,2,5,5,2,2,2,5,2,5,5,5,5,5
"Key_Informants_17","Key_Informants","Male",3,3,2,3,4,4,2,2,2,2,2,2,2,2,2,2,2,2,1,2
"Key_Informants_18","Key_Informants","Male",3,2,2,3,3,3,2,3,2,3,2,3,3,3,3,2,3,3,2,3
"Key_Informants_19","Key_Informants","Male",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"Key_Informants_20","Key_Informants","Male",3,5,5,5,5,5,4,5,4,4,5,3,5,5,5,5,5,5,4,5
"Key_Informants_21","Key_Informants","Male",4,2,3,5,5,5,3,3,4,4,3,3,3,4,3,3,5,5,3,3
"Key_Informants_22","Key_Informants","Male",4,5,4,3,4,NA,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"Key_Informants_23","Key_Informants","Male",4,5,4,3,5,3,4,2,5,3,4,5,4,4,5,5,4,5,4,3
