"respondent_id","group","maoni_01","maoni_02","maoni_03","maoni_04","maoni_05","maoni_06","maoni_07","maoni_08","maoni_09","maoni_10","maoni_11","maoni_12","maoni_13","maoni_14","maoni_15","maoni_16","maoni_17","maoni_18","maoni_19","maoni_20","maoni_21","maoni_22","maoni_23","maoni_24","maoni_25","maoni_26","maoni_27","maoni_28","maoni_29","maoni_30","maoni_31","maoni_32","maoni_33","maoni_34","maoni_35","maoni_36","maoni_37","maoni_38","maoni_39","maoni_40","maoni_41","maoni_42","maoni_43","maoni_44","maoni_45","maoni_46","maoni_47","maoni_48","maoni_49","maoni_50","maoni_51","maoni_52","maoni_53","maoni_54","maoni_55","maoni_56","maoni_57","maoni_58","maoni_59","maoni_60","maoni_61","maoni_62","maoni_63","maoni_64","maoni_65","maoni_66","maoni_67","maoni_68","maoni_69","maoni_70","maoni_71","maoni_72","maoni_73","maoni_74","maoni_75","maoni_76","maoni_77","maoni_78","maoni_79","maoni_80","maoni_81","maoni_82","maoni_83","maoni_84","maoni_85","maoni_86","maoni_87","maoni_88","maoni_89","maoni_90","maoni_91","maoni_92","maoni_93","maoni_94","maoni_95","maoni_96","maoni_97","maoni_98","maoni_99","maoni_100","maoni_101","maoni_102","maoni_103","maoni_104","maoni_105","maoni_106"
"PBFW_1","PBFW","Napata elimu ya kutosha kuhusu vvu","Huduma nzur","Tunahudumiwa vzur","Wanatembelewa kwa wakat na watoa huduma","Wanafikiwa kwa wakati","Napata elimu nzur","Wanafikiwa kwa wakati","Wanafikiwa kwa wakat","Wanatufikia kwa wakati","Nzuri","Huduma ni nzur","Wanatufatilia vzur","Huduma inapatikana kwa wakat","Mtoto anafatiliwa toka akiwa tumbon","Huduma ni nzur","Wadumu wanajitosheleza","Tunafikiwa kufikiwa kwa wakati","Huduma nzur","Huduma bora",NA,NA,NA,NA,NA,"Nzur xana",NA,"Nzur","Napata huduma nzur",NA,NA,"Napata huduma kwa wakat","Huduma kwa wakat",NA,NA,"Tunatuma maon yanapokelewa","Ni mzur",NA,NA,"Nzur xana","Ushaur mzur",NA,NA,NA,"Wanafikiwa kwa wakat","Nzur xana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PBFW_2","PBFW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ukosefu wa vifaa vya kupimia","Vifaa vya kupimia viongezwe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Elimu itolewe hasa vijini",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PBFW_3","PBFW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PBFW_4","PBFW",NA,"Kwa sababu inasaidia kujua hali ya mtoto katika ukuaji wake.","Kwa sababu inasaidia kujua hali ya mtoto katika ukuaji",NA,NA,"Kwa sababu inasaidia kujua hali zao na kuanza kuwapatia huduma kwa wakat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PBFW_5","PBFW","Huduma rafiki","Huduma nzuri","Wanajitaidi kias","Wapo haraka sana","Wanajitaidi kidogo kutufikia","Bado kama wanawasiwasi","Wapo vizuri","Wanatunza siri kwakweli","Wadau niwachache","Kwasababu ya kuwahi kutunza afya","Kujua afya zao mapema","Kwasababu ya kujua afya zetu mapema","Inatufanya tusiwe na hofu","Wanaenda na muda kabisa","Kutoka na mazingira tunayoishi","Wanatoa ushali mzuri sana","Kwasababu ya umbali","Mda mwingine hutukumbusha","Kwasababu hujali zaidi afya zetu","Hutupatia ushauli mala kwa mala","Wahudumu wetu wapo makini sana","Wapo talatibu kutupatia elimu","Kutokana na mazingira","Wapo vizuri kwenye kujali muda","Japo wapo wachache lakini wanajitaidi sana","Hutuandaa mapema","Kwasababu ushirikiano hamna","Galama za usafili wa kufika kituon","Kidogo inatusaidia kujipanga","Hapa tuna pata muda mkubwa sana","Vipo vizuri sana","Kwasababu wapo wachache","Huduma nzuri kiasi","Watoa huduma hujali vizuri sana","Tunashilikishwa kiasi","Wapo vizuri","Hutushirikisha mala moja moja","Wapo vizuri","Watujali sana","Hutumia mda wao sana kutuelimisha","Wapo vizuri sana","Kwasababu tunapata moyo ya kwamba tuneendelea vizuri","Wanajitaida sana kutuweka wazi","Kwasababu tunasaidiwa vizuri","Tunapata msaada kwa wakati","Tunapimwa kwa wakati","Tunapata majibu kwa wakati","Wapo vizuri kwenye kujali muda","Waendele kuelimisha jamii","Wapo vizuri kwenye lugha za utoaji huduma","Hakuna ubaguzi kwakweli","Wanachukuliwa hatua mapema","Elimu iongezwe kwenye jamii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PBFW_6","PBFW",NA,NA,NA,"Nimeridhika kwasababu inasaidia kupunguza maambukizi",NA,"Nimeridhika kwasababu inasaidia kupunguza maambukizi mapya",NA,NA,"Nimeridhika kwasababu inasaidia kugundua maambukizi","Naridhika na upimaji wa vvu na kuanza dawa hapohapo kwasababu mtu atapata dawa mapema na hatuwesi kumpoteza","Naridhika na uhamasishaji wa watoto wangu wa kuwazaa kwasababu kwasababu tutabaini vvu mapema kama kutakuwa na maambukizi katika familia yangu","Naridhika na upimaji wa vvu kwasababu unatusaidia kugundua afya zetu kama zipo sawa au tumeathirika","Nimeridhika na upimaji wa sampuli za watoto  wakati wa kuzaliwa kwasababu tunaweza kugundua kwamba mtoto ameathirika au hajaathirika","Naridhika kwasababu tunapata matokeo nani ya wakati",NA,NA,NA,NA,NA,"Naridhika na huduma ya kuzuia maambukizi kutoka kwa mama kwenda kwa mtoto kwasababu inatusaidia kupunguza maambukizi","Naridhika","Ndiyo naridhika na elim inayotolewa ya kuzuia maambukizi kwasababu inatoa mwanga kwa jamii na watu kuishi kwa tahadhari ya kujikinga na maambukizi",NA,"Nimeridhika kwasababu utoaji wao wa huduma ni mzuri","Naridhika kwasababu mda uliopangwa na ndo mda ambao watu wanapata huduma",NA,NA,"Ndiyo na naridhika na utoaji wa dawa wa mwezi 1 kwa wanaonyonyesha na wajawazito kwasababu inawafanya wawe karibu na uwangalizi madaktari na huduma pia","Nimeridhika kwasababu inampa mtu nafasi ya kutimiza ndoto zake binafsi kama kipato nk.","Nimeridhika kwasababu Inampa mtu nafasi ya yeye kufanya mambo mengine ikiwemo shughuli za kijamii kujenga taifa na kujiimalisha kiuchumi","Ndiyo nimeridhika na vipindi vya tiba na ushauri kwasababu ushauri Huwa unamuondolea mtu mawazo hasi ivyo akikutana na ushauri na kusikiliza husaidia kufanya maamuzai sahihi",NA,NA,"Naridhika kwasababu mtoa huduma hawezi kujuwa changamoto Zote za wapokea huduma hivyo akikaa na kusikiliza changamoto za wapokea huduma itasaidia huduma kuboreshwa","Kwasababu mtoa huduma atapokea maoni  na kuyafanyia kazi","Nimeridhika kwasababu inasaidia jamii za watu ambao wanaishi na vituo vya afya au zahanati nao pia kupata huduma",NA,"Ndiyo naridhika kwasababu itasaidia kumkinga mtoto na maambukizi",NA,NA,NA,NA,NA,NA,"Nimeridhika kwasababu Kuna watu hawawezi kufika kwenye lakini wanafikishiwa huduma mpaka nyumbani",NA,"Ndio naridhika kwasababu majibu yanakuja nani ya muda uliopangwa",NA,NA,NA,"Nimeridhika kwasababu watu hukusanywa pamoja na kuelimishwa kuoinga unyanyapa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PBFW_7","PBFW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PBFW_8","PBFW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PBFW_9","PBFW",NA,NA,NA,NA,NA,NA,NA,NA,"Wadau waongezeke kusaidia huduma siwe bora zaid",NA,NA,NA,"Huduma iko vizuri inasaidia mtot kutopata maambukiz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HAKUNA MSAADA WOWOTE",NA,NA,NA,NA,NA,NA,NA,"Hakuna huduma hiyo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PBFW_10","PBFW",NA,NA,NA,NA,NA,NA,"Kwasababu tunahitaji kutokomeza Hali ya maambukizi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kwasababu inapelekea watu wengi kuacha kutumia dawa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
