"question","pct_missing","flag"
"Uelewa wa watoa huduma ngazi ya kituo na jamii juu ya changamoto zinazowakabili akina mama WAVIU na watoto kufika kituoni",0,"OK"
"Aina ya msaada unaotolewa na watoa huduma ngazi ya kituo cha afya kutatua changamoto  za mama MVIU mwenye mtoto mwenye umri chini ya miaka miwili (2)- Upimaji, DBS, Matumizi ya dawa, ushauri na kuweka wazi hali ya maambukizi",0,"OK"
"Aina ya msaada unaotolewa na watoa huduma ngazi ya jamii kutatua changamoto zinazomkabili mama MVIU na mwanae mwenye umri chini ya miaka miwili (2)",0,"OK"
"Juhudi zinazofanywa na wahudumu wa afya ngazi ya kituo kuwaibua watoto wapya wanaoishi na maambukizi ya VVU",0,"OK"
"Juhudi zinazofanywa na wahudumu wa afya ngazi ya jamii, waelimisha rika na mama vinara kuwaibua watoto wapya wanaoishi na maambukuzi ya VVU",0,"OK"
"Utaratibu unaotumika na wahudumu wa afya ngazi ya kituo, CHW, waelimisha rika na mama vinara kudodosa taarifa za familia ili kuwapata watoto chini ya miaka miwili na wale chini ya miaka 15 kupima VVU (chini ya miaka 2, 3-9,10-14,15-19)",0,"OK"
"Utaratibu unaotumika na wahudumu wa afya ngazi ya jamii kudodosa taarifa za familia ili kuwapata watoto miaka miwili na wale chini ya miaka 15 kupima VVU",0,"OK"
"Utunzaji wa siri za watumia huduma katika zoezi zima la kuwaibua watoto wao kwa ajili ya upimaji wa VVU",0,"OK"
"Msaada unaotolewa na wadau katika kuwafikisha kituoni watoto kutoka katika jamii kwa ajili ya huduma ya upimaji wa VVU",0,"OK"
"Utaratibu wa kupima VVU na kuanza dawa hapo hapo",0,"OK"
"Uhamasishaji watoto wako wa kuzaa wenye umri chini ya miaka 15 kwenda kupima VVU (chini ya miaka 2, 3-9,10-14,15-19)",0,"OK"
"Huduma za Upimaji wa VVU",0,"OK"
"Mizunguko ya uchukuaji wa sampuli za DBS kwa watoto   (wakati wa kujifungua (mara baada ya kuzaliwa, wiki 6, miezi 9, 15, na 18)",0,"OK"
"Matokeo/majibu ya DBS yanatoka ndani ya muda uliopangwa (wiki 2)",0,"OK"
"Endapo majibu yalichelewa - Sababu ulizopewa za kuchelewa kwa matokeo ya kipimo cha  DBS",0,"OK"
"Utaratibu wa sasa wa kuwasaidia  WAVIU wapya kuunganishwa na huduma za tiba (Kwenye jamii na kituo)",0,"OK"
"Msaada utolewao ngazi ya kituo kwa mama MVIU na mwanae chini ya miaka miwili (2) mwenye changamoto za kimaisha kufika kituoni kwa wakati (HEI mothers)",0,"OK"
"Msaada utolewao ngazi ya jamii kwa mama MVIU na mwanae chini ya miaka miwili (2) mwenye changamoto za kimaisha kufika kituoni kwa wakati (kijamii na kiuchumi)",0,"OK"
"Rufaa zinazotolewa na CHWs, Waelimishaji rika, mama vinara na wakunga",0,"OK"
"Uwepo wa huduma ya kuzuia maambukizi kutoka kwa mama kwenda kwa mtoto",0,"OK"
