"question","pct_missing","flag"
"Unapimaje uelewa wa jamii kuhusu huduma za VVU?",0,"OK"
"Unapimaje upatikanaji wa huduma za upimaji wa VVU katika jamii?",0,"OK"
"Unapimaje ushiriki wa jamii katika masuala ya VVU?",0,"OK"
"Unapimaje kiwango cha unyanyapaa dhidi ya watu wanaoishi na VVU katika jamii?",0,"OK"
"Unapimaje juhudi za viongozi wa dini katika kupunguza unyanyapaa wa VVU?",0,"OK"
"Unapimaje ushirikiano wa jamii katika kusaidia watu wanaoishi na VVU?",0,"OK"
"Unapimaje ushiriki wa viongozi wa dini katika shughuli za uhamasishaji kuhusu VVU?",0,"OK"
"Unapimaje mchango wa viongozi wa dini katika kusaidia watoto, vijana, wajawazito na wanaonyonyesha wanaoishi na VVU?",0,"OK"
"Unapimaje ushirikiano kati ya viongozi wa dini na vituo vya afya?",0,"OK"
"Unapimaje msaada unaotolewa kwa vijana kuhusu elimu ya VVU?",0,"OK"
"Unapimaje msaada wa jamii kwa wajawazito na wanaonyonyesha wanaoishi na VVU?",0,"OK"
"Unapimaje ushiriki wa familia katika kusaidia WAVIU kudumu kwenye huduma?",33.3,"OK"
