"question","pct_missing","flag"
"Unapimaje upatikanaji wa huduma za afya kwa wajawazito katika jamii?",0,"OK"
"Unapimaje upatikanaji wa huduma za upimaji wa VVU kwa wajawazito?",0,"OK"
"Unapimaje upatikanaji wa huduma za upimaji wa VVU kwa wanaonyonyesha?",0,"OK"
"Unapimaje ushirikiano kati ya wakunga wa jadi na vituo vya afya?",0,"OK"
"Unapimaje mfumo wa rufaa za wajawazito zinazotoka kwa wakunga kwenda kwenye vituo vya afya?",0,"OK"
"Unapimaje juhudi wakunga wa jadi za uhamasishaji wa kujifungulia kwenye vituo vya afya?",0,"OK"
"Unapimaje elimu inayotolewa kwa wajawazito kuhusu VVU na kuzuia maambukizi ya kutoka kwa mama kwenda kwa mtoto?",0,"OK"
"Unapimaje ushiriki  wa wakunga wa jadi  katika kuhamasisha wajawazito kuanza kliniki ya wakati wa ujauzito mapema?",0,"OK"
"Unapimaje ushiriki wa wakunga wa jadi katika kuhamasisha wajawazito kujifungulia vituo vya afya?",0,"OK"
"Unapimaje ushiriki wa wakunga wa jadi katika kuhamasisha  wajawazito kuendelea kutumia dawa za ARV?",0,"OK"
"Unapimaje kiwango cha jamii katika kushiriki kupinga unyanyapaa dhidi ya watu wanaoishi na VVU katika jamii?",0,"OK"
"Unapimaje ushiriki wa jamii katika kusaidia wajawazito wanaoishi na VVU?",0,"OK"
"Unapimaje ushirikiano wa viongozi wa jamii katika kusaidia wajawazito?",0,"OK"
"Unapimaje mchango wa wahudumu  wa afya gazi ya jamii  na wahudumu wengine wa jamii katika huduma za VVU kwa wajawazito, wanaonyosha  na  watoto?",0,"OK"
"Unapimaje huduma za ufuatiliaji kwa wajawazito na wanaonyonyesha?",0,"OK"
"Unapimaje upatikanaji wa taarifa na elimu kuhusu huduma za afya na VVU katika jamii yako?",0,"OK"
"Kwa ujumla, unapimaje huduma za afya ya uzazi katika jamii yako?",0,"OK"
"Kwa ujumla, unapimaje huduma za afya za VVU katika jamii yako?",0,"OK"
